Date,Close_SPX,Close_GC,lowest_low_100,highest_high_50,position,spx_allocation,gc_allocation,cash_allocation,spx_return,gc_return,strategy_return,buy_hold_return,strategy_cumulative,buy_hold_cumulative
1975-04-01,95.190002,179.1,,,full_spx,1.0,0.0,0.0,,,,,,
1975-07-01,83.870003,168.1,,,full_spx,1.0,0.0,0.0,-0.11892004162369918,-0.06141820212171967,-0.11892004162369918,-0.11892004162369918,0.8810799583763008,0.8810799583763008
1975-10-01,90.190002,144.2,,,full_spx,1.0,0.0,0.0,0.07535470101270914,-0.14217727543129088,0.07535470101270914,0.07535470101270914,0.9474734752080372,0.9474734752080372
1976-04-01,104.279999,129.7,,,full_spx,1.0,0.0,0.0,0.15622570892059628,-0.1005547850208044,0.15622570892059628,0.15622570892059628,1.0954931905558738,1.0954931905558738
1976-07-01,105.239998,123.6,,,full_spx,1.0,0.0,0.0,0.009205974388242888,-0.04703161141094825,0.009205974388242888,0.009205974388242888,1.1055782728106256,1.1055782728106256
1976-10-01,107.459999,116.0,,,full_spx,1.0,0.0,0.0,0.021094650723957553,-0.06148867313915851,0.021094650723957553,0.021094650723957553,1.128900060323562,1.128900060323562
1977-01-03,98.419998,136.0,,,full_spx,1.0,0.0,0.0,-0.08412433541898678,0.17241379310344818,-0.08412433541898678,-0.08412433541898678,1.0339320929943883,1.0339320929943883
1977-04-01,100.480003,152.2,,,full_spx,1.0,0.0,0.0,0.020930756369249126,0.11911764705882355,0.020930756369249126,0.020930756369249126,1.0555730737352016,1.0555730737352016
1977-07-01,96.529999,142.1,,,full_spx,1.0,0.0,0.0,-0.03931134436769468,-0.06636005256241784,-0.03931134436769468,-0.03931134436769468,1.0140770771283312,1.0140770771283312
1977-10-03,95.099998,157.8,,,full_spx,1.0,0.0,0.0,-0.01481405795932933,0.11048557353976096,-0.01481405795932933,-0.01481405795932933,0.9990544805325248,0.9990544805325248
1978-04-03,95.529999,179.8,,,full_spx,1.0,0.0,0.0,0.004521566866910076,0.13941698352344734,0.004521566866910076,0.004521566866910076,1.0035717721699386,1.0035717721699386
1978-07-03,102.540001,184.8,,,full_spx,1.0,0.0,0.0,0.07338011172804482,0.027808676307007785,0.07338011172804482,0.07338011172804482,1.0772139809388808,1.0772139809388808
1978-10-02,96.110001,223.1,,,full_spx,1.0,0.0,0.0,-0.06270723558896796,0.20725108225108224,-0.06270723558896796,-0.06270723558896796,1.0096648700564164,1.0096648700564164
1979-04-02,102.910004,243.8,,,full_spx,1.0,0.0,0.0,0.07075229351001666,0.09278350515463929,0.07075229351001666,0.07075229351001666,1.0811009752894007,1.0811009752894007
1979-07-02,109.32,284.0,,,full_spx,1.0,0.0,0.0,0.062287394333402135,0.16488925348646433,0.062287394333402135,0.062287394333402135,1.1484399380514774,1.1484399380514774
1979-10-01,107.940002,424.5,,,full_spx,1.0,0.0,0.0,-0.012623472374679756,0.494718309859155,-0.012623472374679756,-0.012623472374679756,1.1339426382195057,1.1339426382195057
1980-04-01,114.24,515.0,,,full_spx,1.0,0.0,0.0,0.05836573914460352,0.21319199057714955,0.05836573914460352,0.05836573914460352,1.200126038446769,1.200126038446769
1980-07-01,125.48,676.0,,,full_spx,1.0,0.0,0.0,0.09838935574229701,0.3126213592233009,0.09838935574229701,0.09838935574229701,1.3182056661791017,1.3182056661791017
1980-10-01,135.76,696.5,,,full_spx,1.0,0.0,0.0,0.08192540643927315,0.03032544378698221,0.08192540643927315,0.08192540643927315,1.4262002011513775,1.4262002011513775
1981-04-01,131.21,528.0,,,full_spx,1.0,0.0,0.0,-0.03351502651738347,-0.24192390524048812,-0.03351502651738347,-0.03351502651738347,1.3784010635906914,1.3784010635906914
1981-07-01,116.18,419.0,,,full_spx,1.0,0.0,0.0,-0.114549195945431,-0.20643939393939392,-0.114549195945431,-0.114549195945431,1.2205063300660508,1.2205063300660508
1981-10-01,122.55,440.0,,,full_spx,1.0,0.0,0.0,0.05482871406438283,0.05011933174224348,0.05482871406438283,0.05482871406438283,1.2874251226510116,1.2874251226510116
1982-04-01,109.61,332.8,,,full_spx,1.0,0.0,0.0,-0.10558955528355773,-0.24363636363636365,-0.10558955528355773,-0.10558955528355773,1.1514864764894115,1.1514864764894115
1982-07-01,120.42,316.5,,,full_spx,1.0,0.0,0.0,0.09862238846820537,-0.04897836538461542,0.09862238846820537,0.09862238846820537,1.2650488230896353,1.2650488230896353
1982-10-01,140.64,413.0,,,full_spx,1.0,0.0,0.0,0.16791230692575976,0.30489731437598744,0.16791230692575976,0.16791230692575976,1.4774660893483333,1.4774660893483333
1983-01-03,152.96,453.4,,,full_spx,1.0,0.0,0.0,0.08759954493742916,0.0978208232445521,0.08759954493742916,0.08759954493742916,1.6068914464357305,1.6068914464357305
1983-07-01,166.07,421.2,,,full_spx,1.0,0.0,0.0,0.08570868200836812,-0.07101896779885308,0.08570868200836812,0.08570868200836812,1.7446159944402573,1.7446159944402573
