Date,Close,EMA_fast,EMA_slow,signal_raw,position,returns,strategy_returns,bh_returns,cum_strategy,cum_bh
1871-01-02,4.61,4.61,4.61,0,0,,,0.0,1.0,1.0
1871-04-03,4.82,4.613307086614173,4.611329113924051,1,0,0.045553145336225676,0.0,0.045553145336225676,1.0,1.0455531453362257
1871-07-03,4.84,4.616877053754108,4.612776398013139,1,1,0.004149377593360981,0.004149377593360981,0.004149377593360981,1.004149377593361,1.0498915401301518
1871-10-02,4.74,4.6188159977894765,4.6135816106839425,1,1,-0.02066115702479332,-0.02066115702479332,-0.02066115702479332,0.9834024896265561,1.0281995661605208
1872-01-01,5.04,4.625448816721926,4.616280461249233,1,1,0.06329113924050622,0.06329113924050622,0.06329113924050622,1.045643153526971,1.0932754880694144
1872-04-01,5.18,4.634181906222368,4.6198483064312,1,1,0.02777777777777768,0.02777777777777768,0.02777777777777768,1.0746887966804979,1.123644251626898
1872-07-01,5.04,4.640572742344851,4.622507494365179,1,1,-0.027027027027026973,-0.027027027027026973,-0.027027027027026973,1.045643153526971,1.0932754880694144
1872-10-01,4.95,4.645445612544146,4.624580231742614,1,1,-0.017857142857142794,-0.017857142857142794,-0.017857142857142794,1.0269709543568466,1.0737527114967464
1873-01-01,5.11,4.652761429669435,4.627652508756901,1,1,0.03232323232323231,0.03232323232323231,0.03232323232323231,1.0601659751037344,1.1084598698481565
1873-04-01,5.05,4.6590171551864525,4.630325594144515,1,1,-0.011741682974559797,-0.011741682974559797,-0.011741682974559797,1.0477178423236513,1.0954446854663775
1873-07-01,4.59,4.657930270852808,4.630070368865119,1,1,-0.09108910891089106,-0.09108910891089106,-0.09108910891089106,0.9522821576763484,0.9956616052060738
1873-10-01,4.42,4.654183337453551,4.628740809568504,1,1,-0.03703703703703698,-0.03703703703703698,-0.03703703703703698,0.9170124481327799,0.9587852494577008
1874-01-01,4.66,4.654274938438535,4.628938652545918,1,1,0.05429864253393668,0.05429864253393668,0.05429864253393668,0.9668049792531119,1.0108459869848159
1874-04-01,4.46,4.651215490589109,4.627869420567779,1,1,-0.04291845493562241,-0.04291845493562241,-0.04291845493562241,0.9253112033195019,0.9674620390455533
1874-07-01,4.54,4.649464065540462,4.627313284994566,1,1,0.017937219730941756,0.017937219730941756,0.017937219730941756,0.9419087136929459,0.9848156182212583
1874-10-01,4.54,4.647740221988644,4.626760669266752,1,1,0.0,0.0,0.0,0.9419087136929459,0.9848156182212583
1875-01-01,4.59,4.646830927154178,4.6265280068030386,1,1,0.011013215859030812,0.011013215859030812,0.011013215859030812,0.9522821576763484,0.9956616052060739
1875-04-01,4.38,4.642628865309231,4.624967702962513,1,1,-0.04575163398692805,-0.04575163398692805,-0.04575163398692805,0.908713692946058,0.9501084598698484
1875-07-01,4.37,4.638335497351606,4.6233539833235096,1,1,-0.0022831050228310223,-0.0022831050228310223,-0.0022831050228310223,0.9066390041493775,0.9479392624728853
1875-10-01,4.37,4.634109741487801,4.621750477099942,1,1,0.0,0.0,0.0,0.9066390041493775,0.9479392624728853
1876-01-03,4.51,4.632155257369884,4.621043195599309,1,1,0.03203661327231111,0.03203661327231111,0.03203661327231111,0.9356846473029043,0.9783080260303689
1876-04-03,4.15,4.624562261190831,4.618061909551213,1,1,-0.07982261640798216,-0.07982261640798216,-0.07982261640798216,0.8609958506224066,0.9002169197396965
1876-07-03,3.69,4.609844745266566,4.612188099997091,0,1,-0.110843373493976,-0.110843373493976,-0.110843373493976,0.7655601659751036,0.8004338394793927
1876-10-02,3.58,4.593626717782053,4.60565526392116,0,0,-0.02981029810298097,-0.0,-0.02981029810298097,0.7655601659751036,0.7765726681127985
1877-01-01,3.17,4.571207399391784,4.59656883820014,0,0,-0.11452513966480449,-0.0,-0.11452513966480449,0.7655601659751036,0.6876355748373103
1877-04-02,2.73,4.542212007275379,4.584755111376088,0,0,-0.13880126182965302,-0.0,-0.13880126182965302,0.7655601659751036,0.5921908893709328
1877-07-02,3.05,4.518712605586003,4.575041471430669,0,0,0.11721611721611724,0.0,0.11721611721611724,0.7655601659751036,0.6616052060737527
1877-10-01,3.26,4.498890359828744,4.566718424143133,0,0,0.06885245901639347,0.0,0.06885245901639347,0.7655601659751036,0.7071583514099783
1878-01-01,3.24,4.479065314792071,4.558321472091594,0,0,-0.006134969325153228,-0.0,-0.006134969325153228,0.7655601659751036,0.7028199566160521
1878-04-01,3.34,4.461127278338653,4.550610576698609,0,0,0.030864197530864113,0.0,0.030864197530864113,0.7655601659751036,0.7245119305856833
1878-07-01,3.45,4.445204014112848,4.543644686972668,0,0,0.03293413173652704,0.0,0.03293413173652704,0.7655601659751036,0.7483731019522777
1878-10-01,3.47,4.429846470583512,4.536849467434866,0,0,0.005797101449275477,0.0,0.005797101449275477,0.7655601659751036,0.752711496746204
1879-01-01,3.58,4.416463061597946,4.530793458147303,0,0,0.03170028818443793,0.0,0.03170028818443793,0.7655601659751036,0.7765726681127982
1879-04-01,3.94,4.408959706297191,4.527054259045105,0,0,0.1005586592178771,0.0,0.1005586592178771,0.7655601659751036,0.8546637744034707
1879-07-01,4.22,4.405983962890936,4.525110877658744,0,0,0.07106598984771573,0.0,0.07106598984771573,0.7655601659751036,0.9154013015184382
1879-10-01,4.92,4.414078703632811,4.52761017590141,0,0,0.16587677725118488,0.0,0.16587677725118488,0.7655601659751036,1.067245119305857
1880-01-01,5.3,4.428030220111034,4.532498719091907,0,0,0.0772357723577235,0.0,0.0772357723577235,0.7655601659751036,1.1496746203904555
1880-04-01,4.79,4.433730531605349,4.534128474034364,0,0,-0.0962264150943396,-0.0,-0.0962264150943396,0.7655601659751036,1.0390455531453362
1880-07-01,5.18,4.445482806698178,4.5382162685025005,0,0,0.08141962421711901,0.0,0.08141962421711901,0.7655601659751036,1.123644251626898
1880-10-01,5.84,4.467443707380097,4.5464554060436235,0,0,0.12741312741312738,0.0,0.12741312741312738,0.7655601659751036,1.2668112798264641
1881-01-03,6.24,4.49535797970482,4.557174042714233,0,0,0.06849315068493156,0.0,0.06849315068493156,0.7655601659751036,1.353579175704989
1881-04-01,6.58,4.528186987898445,4.569976738646421,0,0,0.054487179487179516,0.0,0.054487179487179516,0.7655601659751036,1.4273318872017353
1881-07-01,6.25,4.555302153443351,4.580609797262583,0,0,-0.050151975683890626,-0.0,-0.050151975683890626,0.7655601659751036,1.3557483731019522
1881-10-03,6.01,4.57821078094818,4.58965657069763,0,0,-0.03839999999999999,-0.0,-0.03839999999999999,0.7655601659751036,1.3036876355748372
1882-01-02,5.78,4.597136595421437,4.59719038987043,0,0,-0.038269550748752046,-0.0,-0.038269550748752046,0.7655601659751036,1.2537960954446854
1882-04-03,5.68,4.614189562422674,4.604043615250997,1,0,-0.01730103806228378,-0.0,-0.01730103806228378,0.7655601659751036,1.232104121475054
1882-07-03,6.24,4.63979287640027,4.614397769584851,1,1,0.09859154929577474,0.09859154929577474,0.09859154929577474,0.8410379288177194,1.353579175704989
1882-10-02,5.84,4.658693775984518,4.622154745726719,1,1,-0.06410256410256421,-0.06410256410256421,-0.06410256410256421,0.7871252410729938,1.266811279826464
1883-01-01,5.75,4.675879700772163,4.629293006829714,1,1,-0.015410958904109595,-0.015410958904109595,-0.015410958904109595,0.7749948863304305,1.2472885032537957
1883-04-02,5.82,4.693897343279688,4.636829127039652,1,1,0.012173913043478368,0.012173913043478368,0.012173913043478368,0.7844296066857576,1.2624728850325377
1883-07-02,5.47,4.706119432361898,4.642102360412819,1,1,-0.06013745704467366,-0.06013745704467366,-0.06013745704467366,0.7372560049091226,1.1865509761388282
1883-10-01,5.46,4.717991567285332,4.647278927751978,1,1,-0.001828153564899404,-0.001828153564899404,-0.001828153564899404,0.7359081877155045,1.1843817787418651
1884-01-01,5.32,4.727472015044619,4.6515366560573455,1,1,-0.02564102564102555,-0.02564102564102555,-0.02564102564102555,0.7170387470048506,1.1540130151843815
1884-04-01,4.65,4.7262519833116325,4.651526930386096,1,1,-0.12593984962406013,-0.12593984962406013,-0.12593984962406013,0.6267349950324352,1.0086767895878523
1884-07-01,4.59,4.724106282787041,4.651137519434285,1,1,-0.012903225806451757,-0.012903225806451757,-0.012903225806451757,0.6186480918707263,0.9956616052060735
1884-10-01,4.34,4.718057364947875,4.6491682946277395,1,1,-0.05446623093681913,-0.05446623093681913,-0.05446623093681913,0.5849526620302729,0.9414316702819955
1885-01-01,4.24,4.710528902507751,4.64657862187693,1,1,-0.02304147465437778,-0.02304147465437778,-0.02304147465437778,0.5714744900940915,0.9197396963123643
1885-04-01,4.3,4.704063880421016,4.64438508629543,1,1,0.014150943396226356,0.014150943396226356,0.014150943396226356,0.5795613932558003,0.932754880694143
