Date,VXX_Price,EMA8,EMA32
2018-01-25,1770.239990234375,1770.239990234375,1770.239990234375
2018-01-26,1770.239990234375,1770.239990234375,1770.239990234375
2018-01-29,1893.1199951171875,1821.8113912473689,1813.7858168915122
2018-01-30,1955.199951171875,1868.5615163362945,1852.5205710350597
2018-01-31,1961.5999755859373,1897.4628624438135,1877.145847423017
2018-02-01,1862.8480224609373,1887.5836396161665,1874.375548089348
2018-02-02,2102.39990234375,1945.2496596302844,1913.3652853998633
2018-02-05,2807.0400390625,2166.371139925426,2050.9834129899873
2018-02-06,2759.424072265625,2313.4839037222346,2150.759491623067
2018-02-07,2850.56005859375,2443.3554589813084,2241.998346158182
2018-02-08,3531.52001953125,2701.4312096172994,2399.158639044815
2018-02-09,3217.919921875,2822.1212480697113,2493.184231545001
2018-02-12,3107.199951171875,2887.9825236348343,2560.069697498903
2018-02-13,3070.080078125,2929.684990421169,2613.0647448383984
2018-02-14,2718.719970703125,2881.6973469949626,2623.5876707198595
2018-02-15,2656.0,2830.6264516778742,2626.6946909465655
2018-02-16,2695.679931640625,2800.2141134850162,2633.0823755214587
2018-02-20,2805.760009765625,2801.460052378062,2648.575833157819
2018-02-21,2848.0,2811.89027634382,2665.9628301830016
2018-02-22,2810.8798828125,2811.6642610817744,2678.270434042715
2018-02-23,2591.360107421875,2762.456594475862,2671.064526834143
2018-02-26,2513.919921875,2707.0060684000855,2658.3196429333734
2018-02-27,2714.239990234375,2708.6185860389382,2662.7638532392193
2018-02-28,2826.239990234375,2734.81960487212,2675.5153521439715
2018-03-01,3020.800048828125,2798.4897535979253,2701.9878008192104
2018-03-02,2887.679931640625,2818.338632134551,2715.999470835307
2018-03-05,2781.43994140625,2810.1296464839993,2720.8651199828705
2018-03-06,2796.159912109375,2807.0225301260643,2726.3875479626518
2018-03-07,2754.56005859375,2795.356227881653,2728.42784573434
2018-03-08,2725.760009765625,2779.8821740933245,2728.236893040119
2018-03-09,2448.0,2706.1000677223797,2708.3963393653517
2018-03-12,2544.639892578125,2670.2084844485134,2696.919495832086
2018-03-13,2605.43994140625,2655.8118733059096,2690.5683672793743
2018-03-14,2662.39990234375,2657.2761646739123,2688.629821502609
2018-03-15,2588.159912109375,2641.9146726835347,2681.7718399035725
2018-03-16,2515.199951171875,2613.7525308240624,2670.4881533630587
2018-03-19,2775.679931640625,2649.739692268617,2677.5634327170224
2018-03-20,2722.56005859375,2665.923148238534,2680.569932776975
2018-03-21,2623.360107421875,2656.4641708701856,2676.7709857817854
2018-03-22,3020.800048828125,2737.431186926871,2699.484122274091
2018-03-23,3200.0,2840.2277004352054,2732.3507019649783
2018-03-26,2963.199951171875,2867.555579361024,2747.433204639347
2018-03-27,3185.919921875,2938.3046448966506,2775.9468364274094
2018-03-28,3206.080078125,2997.8112347372025,2803.7941426273683
2018-03-29,3136.0,3028.520225739563,2825.2129526843214
2018-04-02,3317.760009765625,3092.7963462212906,2856.8473071969406
2018-04-03,3175.679931640625,3111.215057364732,2877.2508083917614
2018-04-04,3115.52001953125,3112.1717211425057,2892.44721210938
2018-04-05,3031.679931640625,3094.2845765556176,2901.2991569503947
2018-04-06,3187.199951171875,3114.9325096346256,2919.4219266840832
2018-04-09,3187.199951171875,3130.991984674993,2936.3488296151263
2018-04-10,3187.199951171875,3143.482670264321,2952.164519944483
2018-04-11,3187.199951171875,3153.197637527984,2966.9469612890234
2018-04-12,3077.760009765625,3136.4336988395285,2973.9005820197426
2018-04-13,2942.719970703125,3093.386160941571,2971.9481576516337
2018-04-16,2793.60009765625,3026.766984302411,2960.803013579873
2018-04-17,2579.199951171875,2927.3075838466684,2937.0011308323606
2018-04-18,2595.840087890625,2853.6481058778263,2915.75929624382
2018-04-19,2622.080078125,2802.188525450629,2897.504094280784
2018-04-20,2695.0400390625,2778.3777439663104,2884.938389149671
2018-04-23,2662.39990234375,2752.60488460545,2871.1468924074316
2018-04-24,2661.760009765625,2732.417131188567,2858.1881677950973
2018-04-25,2851.199951171875,2758.8133169181506,2857.7562288394847
2018-04-26,2717.43994140625,2749.619232519882,2849.0937593291906
2018-04-27,2651.199951171875,2727.7482793493577,2836.8905042439296
2018-04-30,2625.280029296875,2704.9775556903837,2823.8552140240718
2018-05-01,2711.0400390625,2706.3247742830986,2816.9126572185287
2018-05-02,2544.639892578125,2670.3947992105877,2800.172826999136
2018-05-03,2752.0,2688.529288808896,2797.213664585922
2018-05-04,2579.199951171875,2664.233879888682,2783.8325082177807
2018-05-07,2544.0,2637.5152394374745,2769.123515226639
2018-05-08,2544.0,2616.7340748301185,2755.3266206480375
2018-05-09,2482.56005859375,2586.917626456293,2738.621236410152
2018-05-10,2349.43994140625,2534.1448071139807,2714.8013205371476
2018-05-11,2293.1201171875,2480.583764558945,2689.007695304681
