Date,VXX_Price,EMA8,EMA32,Signal
2018-01-25,1770.239990234375,1770.239990234375,1770.239990234375,0
2018-01-26,1770.239990234375,1770.239990234375,1770.239990234375,0
2018-01-29,1893.1199951171875,1812.8490947138039,1812.02189516453,1
2018-01-30,1955.199951171875,1850.5999612872138,1848.897331191533,1
2018-01-31,1961.5999755859373,1874.610748936229,1872.3484056686195,1
2018-02-01,1862.8480224609373,1872.449131356417,1870.6847938506826,1
2018-02-02,2102.39990234375,1909.3698317429014,1905.805840397214,1
2018-02-05,2807.0400390625,2037.9024092391717,2026.5019752685646,1
2018-02-06,2759.424072265625,2131.483676759023,2114.603025002787,1
2018-02-07,2850.56005859375,2217.009093872959,2194.997068786673,1
2018-02-08,3531.52001953125,2361.810356897704,2329.009886226775,1
2018-02-09,3217.919921875,2449.8690494028465,2411.502660839797,1
2018-02-12,3107.199951171875,2513.435924426312,2471.6724676995136,1
2018-02-13,3070.080078125,2564.339544732048,2520.1922241080897,1
2018-02-14,2718.719970703125,2577.7564358811883,2535.3596874523873,1
2018-02-15,2656.0,2584.2468818148877,2544.082861126147,1
2018-02-16,2695.679931640625,2593.103118409612,2554.4976046726297,1
2018-02-20,2805.760009765625,2609.3500998997224,2570.95465323168,1
2018-02-21,2848.0,2626.9292774081828,2588.3074735075984,1
2018-02-22,2810.8798828125,2640.0280620549383,2601.6757566013584,1
2018-02-23,2591.360107421875,2636.6699410288525,2601.0801510973897,1
2018-02-26,2513.919921875,2628.4450857081792,2596.2316232300045,1
2018-02-27,2714.239990234375,2634.0383343973444,2602.56911808207,1
2018-02-28,2826.239990234375,2646.251321410557,2614.1872140797195,1
2018-03-01,3020.800048828125,2669.4858853194355,2634.6501361180326,1
2018-03-02,2887.679931640625,2682.7192663655856,2647.006776222409,1
2018-03-05,2781.43994140625,2688.5809957670353,2653.386560048644,1
2018-03-06,2796.159912109375,2694.842461376126,2659.9798075905983,1
2018-03-07,2754.56005859375,2698.25346502963,2664.2352568980327,1
2018-03-08,2725.760009765625,2699.7969749031126,2666.9354202806203,1
2018-03-09,2448.0,2685.902368940409,2657.5528894896597,1
2018-03-12,2544.639892578125,2678.229755349727,2652.8230145434504,1
2018-03-13,2605.43994140625,2674.33501274183,2650.8810520371794,1
2018-03-14,2662.39990234375,2673.705402163869,2651.3433515755787,1
2018-03-15,2588.159912109375,2669.2529113255982,2648.858067716718,1
2018-03-16,2515.199951171875,2661.336318309577,2643.701425208708,1
2018-03-19,2775.679931640625,2667.141628053652,2648.699410478082,1
2018-03-20,2722.56005859375,2669.923122410295,2651.446850454885,1
2018-03-21,2623.360107421875,2667.6114590103352,2650.4199541058138,1
2018-03-22,3020.800048828125,2684.964829488149,2663.7384314410588,1
2018-03-23,3200.0,2710.021770691102,2682.7152241510607,1
2018-03-26,2963.199951171875,2722.2239942238634,2692.488473693496,1
2018-03-27,3185.919921875,2744.373457641663,2709.4268787172923,1
2018-03-28,3206.080078125,2766.240897339691,2726.231774784758,1
2018-03-29,3136.0,2783.6119868692567,2739.9049137380753,1
2018-04-02,3317.760009765625,2808.512658395533,2758.9286957788254,1
2018-04-03,3175.679931640625,2825.503334030163,2772.471050414536,1
2018-04-04,3115.52001953125,2838.8297881164344,2783.478724545591,1
2018-04-05,3031.679931640625,2847.632093642655,2791.3462869709474,1
2018-04-06,3187.199951171875,2863.032086814199,2803.7466657314117,1
2018-04-09,3187.199951171875,2877.6440039919585,2815.6217496879194,1
2018-04-10,3187.199951171875,2891.5160041478366,2827.0019956402066,1
2018-04-11,3187.199951171875,2904.692616132982,2837.9155639835717,1
2018-04-12,3077.760009765625,2912.3640239627216,2845.1070764994874,1
2018-04-13,2942.719970703125,2913.702744156837,2848.004407415104,1
2018-04-16,2793.60009765625,2908.4318752343343,2846.4053851841254,1
2018-04-17,2579.199951171875,2894.050253884973,2838.626422907523,1
2018-04-18,2595.840087890625,2881.0816617963965,2831.6235554108935,1
2018-04-19,2622.080078125,2869.8660937615496,2825.6336953893997,1
2018-04-20,2695.0400390625,2862.3264036888195,2821.9331415939746,1
2018-04-23,2662.39990234375,2853.737802501834,2817.4507984529455,1
2018-04-24,2661.760009765625,2845.521423027901,2813.112400548088,1
