Price,High,Low,Close,ATR
Ticker,SPOT,SPOT,SPOT,
Date,,,,
2025-09-04,707.6500244140625,694.1500244140625,703.8499755859375,23.63890475241389
2025-09-05,716.5,690.3200073242188,707.1900024414062,23.740548269348583
2025-09-08,720.5499877929688,706.3099975585938,718.280029296875,23.36052594794964
2025-09-09,727.0,710.489990234375,719.1599731445312,23.086505300656654
2025-09-10,725.0,700.0,704.0900268554688,23.163045088630387
2025-09-11,703.5,677.0700073242188,690.3099975585938,23.31732406633517
2025-09-12,697.7999877929688,686.0,696.4000244140625,22.856630615400512
2025-09-15,712.0,696.4000244140625,703.0999755859375,22.56636441422199
2025-09-16,715.0,693.7000122070312,704.0599975585938,22.515709349371857
2025-09-17,710.1950073242188,688.9600219726562,707.1900024414062,22.46448038945948
2025-09-18,745.0,711.3400268554688,734.1199951171875,23.07830107622485
2025-09-19,738.8699951171875,728.1649780273438,734.9199829101562,22.583369716769607
2025-09-22,740.2009887695312,726.719970703125,738.530029296875,22.21927565075507
2025-09-23,740.0,716.8499755859375,718.9400024414062,22.256505601287365
2025-09-24,719.739990234375,699.3200073242188,708.6500244140625,22.18304469364212
2025-09-25,719.75,695.969970703125,712.6199951171875,22.246924077771432
2025-09-26,716.530029296875,704.4400024414062,716.530029296875,21.840648188879324
2025-09-29,740.0,720.2750244140625,728.469970703125,21.90582108944915
2025-09-30,711.0,677.989990234375,698.0,23.048787464621185
2025-10-01,721.6699829101562,697.780029296875,700.6799926757812,23.082434110567586
2025-10-02,716.8599853515625,698.489990234375,707.2999877929688,22.893936550832382
2025-10-03,708.5499877929688,680.239990234375,680.5,23.110578991142837
2025-10-06,698.8499755859375,675.4500122070312,680.280029296875,23.122154366653376
2025-10-07,683.0,670.5,680.4400024414062,22.69726819198724
2025-10-08,696.5,674.2999877929688,676.5850219726562,22.677377952589
