,skewness,rank,demeaned_rank,weight
EA,-4.703454448842218,313.0,156.0,0.012738853503184714
PANW,-4.28719983240956,312.0,155.0,0.012657194185856606
PATH,-3.945276168479545,311.0,154.0,0.012575534868528498
NKE,-3.71940237518856,310.0,153.0,0.012493875551200392
NGG,-3.019661612254274,309.0,152.0,0.012412216233872285
F,-2.1875034584037816,308.0,151.0,0.012330556916544177
TGT,-2.167206631296431,307.0,150.0,0.01224889759921607
CRM,-2.067702818641361,306.0,149.0,0.012167238281887963
ABBV,-1.9530000394548246,305.0,148.0,0.012085578964559855
INTC,-1.9528938373629796,304.0,147.0,0.01200391964723175
HSBC,-1.8460865225781284,303.0,146.0,0.011922260329903641
LMT,-1.7153778730895444,302.0,145.0,0.011840601012575535
PDD,-1.7123852386043292,301.0,144.0,0.011758941695247428
SNAP,-1.5891316895479737,300.0,143.0,0.01167728237791932
BKNG,-1.5104565938044512,299.0,142.0,0.011595623060591214
ROKU,-1.4603826664602995,298.0,141.0,0.011513963743263106
VRTX,-1.444075044193695,297.0,140.0,0.011432304425935
SWKS,-1.3742196090240677,296.0,139.0,0.011350645108606892
STLA,-1.3657965748632988,295.0,138.0,0.011268985791278784
IFF,-1.3559982290978745,294.0,137.0,0.011187326473950678
FMX,-1.27252646866771,293.0,136.0,0.01110566715662257
ABNB,-1.2377985025666212,292.0,135.0,0.011024007839294463
MRK,-1.2279749676793115,291.0,134.0,0.010942348521966357
XP,-1.2273231759283831,290.0,133.0,0.010860689204638249
TIIAY,-1.2261045396630152,289.0,132.0,0.010779029887310141
CVS,-1.1680934055249432,288.0,131.0,0.010697370569982035
CLS,-1.0496744172655084,287.0,130.0,0.010615711252653927
PCAR,-1.0316555282418254,286.0,129.0,0.010534051935325821
COST,-1.0227922078196212,285.0,128.0,0.010452392617997713
MELI,-1.0130172780062348,284.0,127.0,0.010370733300669606
BBD,-1.0128862775111138,283.0,126.0,0.0102890739833415
ASML,-0.9703664484006911,282.0,125.0,0.010207414666013392
VST,-0.9617304512989113,281.0,124.0,0.010125755348685286
ADBE,-0.9533152857405816,280.0,123.0,0.010044096031357178
AAP,-0.9282514362428425,279.0,122.0,0.00996243671402907
AEG,-0.9102987147825345,278.0,121.0,0.009880777396700964
HOG,-0.9056750488276378,277.0,120.0,0.009799118079372856
MSFT,-0.8780897606887135,276.0,119.0,0.009717458762044748
GT,-0.8748366494064043,275.0,118.0,0.009635799444716642
VZ,-0.8090617211778243,274.0,117.0,0.009554140127388535
MUFG,-0.7891801784531477,273.0,116.0,0.009472480810060427
GFI,-0.7653883684892382,272.0,115.0,0.00939082149273232
SAN,-0.7596565839246375,271.0,114.0,0.009309162175404213
SPGI,-0.7515864986399847,270.0,113.0,0.009227502858076107
PBR,-0.7024096815462569,269.0,112.0,0.009145843540748
VOD,-0.6953584086572324,268.0,111.0,0.009064184223419891
NEM,-0.691082096397546,267.0,110.0,0.008982524906091785
HDB,-0.6703661310130615,266.0,109.0,0.008900865588763678
AVY,-0.6621070717907688,265.0,108.0,0.008819206271435572
PAGS,-0.6534417419368606,264.0,107.0,0.008737546954107464
BIIB,-0.6387564400687398,263.0,106.0,0.008655887636779356
DHR,-0.6337841096197444,262.0,105.0,0.00857422831945125
ETSY,-0.6165186791643009,261.0,104.0,0.008492569002123142
GLD,-0.5852294579489435,260.0,103.0,0.008410909684795034
CIBR,-0.5788494736665615,259.0,102.0,0.008329250367466928
CVX,-0.576491276487786,258.0,101.0,0.00824759105013882
CL,-0.5747752458954067,257.0,100.0,0.008165931732810713
UNH,-0.5728503516926818,256.0,99.0,0.008084272415482607
ERIC,-0.5541315183184005,255.0,98.0,0.008002613098154499
ACWI,-0.5486635679755008,254.0,97.0,0.007920953780826393
EWJ,-0.5449479585704067,253.0,96.0,0.007839294463498285
EQNR,-0.5399796692789222,252.0,95.0,0.007757635146170178
IBB,-0.536983196993177,251.0,94.0,0.007675975828842071
V,-0.5332857682569776,250.0,93.0,0.007594316511513963
AMAT,-0.5301697973687531,249.0,92.0,0.0075126571941858565
DECK,-0.5240691256932218,248.0,91.0,0.0074309978768577496
TTE,-0.5181047624146923,247.0,90.0,0.007349338559529642
SYY,-0.51804190150116,246.0,89.0,0.007267679242201535
PG,-0.5168452960605405,245.0,88.0,0.007186019924873428
SPY,-0.5122606128340217,244.0,87.0,0.007104360607545321
SPXL,-0.5082943918721761,243.0,86.0,0.007022701290217214
GSK,-0.5062721075848261,242.0,85.0,0.006941041972889106
ESGU,-0.5039639462579995,241.0,84.0,0.006859382655560999
SMH,-0.5024372698816598,240.0,83.0,0.0067777233382328925
XLRE,-0.49828974639833384,239.0,82.0,0.006696064020904785
IVV,-0.4975148163016258,238.0,81.0,0.006614404703576678
IVW,-0.4929528331347361,237.0,80.0,0.006532745386248571
SCHW,-0.4848132203823893,236.0,79.0,0.006451086068920464
NVS,-0.48396685186862376,235.0,78.0,0.006369426751592357
RBLX,-0.4550417737929755,234.0,77.0,0.006287767434264249
PSX,-0.44987145222639036,233.0,76.0,0.006206108116936142
EWZ,-0.44082419628226643,232.0,75.0,0.006124448799608035
EFX,-0.4363290578390652,231.0,74.0,0.006042789482279928
LRCX,-0.43605014599156583,230.0,73.0,0.005961130164951821
IBN,-0.4351497866304449,229.0,72.0,0.005879470847623714
DOW,-0.4316802417244756,228.0,71.0,0.005797811530295607
XLK,-0.43160518003230036,227.0,70.0,0.0057161522129675
