Date,Open,High,Low,Close
1993-01-29,24.330326400474664,24.330326400474664,24.209280000472305,24.313034057617188
1993-02-01,24.33033459065324,24.485965728759766,24.33033459065324,24.485965728759766
1993-02-02,24.468666699001535,24.55512841878599,24.41678966713086,24.5378360748291
1993-02-03,24.572436778282686,24.814529751467738,24.555144423055182,24.797237396240234
1993-02-04,24.883678118387856,24.952847480773926,24.607000668843586,24.900970458984375
1993-02-05,24.883680343627933,24.93555737005662,24.74534160648476,24.88368034362793
1993-02-08,24.883680343627933,24.970142054342414,24.84909565934214,24.88368034362793
1993-02-09,24.797208440312144,24.797208440312144,24.65886976003146,24.71074676513672
1993-02-10,24.710757569447004,24.762634597234506,24.641588199063666,24.745342254638672
1993-02-11,24.779924708380985,24.9701404598061,24.779924708380985,24.86638641357422
1993-02-12,24.831795658360186,24.831795658360186,24.676164627075195,24.676164627075195
1993-02-16,24.60700294527538,24.60700294527538,24.0190633106026,24.053647994995117
1993-02-17,24.053642588553668,24.088227265172723,23.949888558696497,24.03635025024414
1993-02-18,24.31303763612729,24.31303763612729,23.690513201631855,24.019067764282227
1993-02-19,24.01906425607427,24.105525970458988,23.98447957032038,24.105525970458984
1993-02-22,24.174705178163325,24.226582227901872,24.105535778511925,24.191997528076172
1993-02-23,24.26116725610561,24.278459606252515,24.05365905434277,24.174705505371094
1993-02-24,24.19199580122522,24.485965728759766,24.19199580122522,24.485965728759766
1993-02-25,24.468666699001535,24.55512841878599,24.41678966713086,24.5378360748291
1993-02-26,24.589723915889344,24.589723915889344,24.451385103423018,24.572431564331055
1993-03-01,24.65888696803791,24.65888696803791,24.468671149911387,24.50325584411621
1993-03-02,24.52053959280128,24.86638641357422,24.485954910723986,24.86638641357422
1993-03-03,24.900971093006085,24.98743279819013,24.866386410932463,24.97014045715332
1993-03-04,25.004733465508167,25.004733465508167,24.831809997558594,24.831809997558594
1993-03-05,24.866399823620334,24.97015392580512,24.745353371071417,24.762645721435547
1993-03-08,24.81451997340051,25.315998077392578,24.81451997340051,25.315998077392578
1993-03-09,25.264113113110486,25.281405456103716,25.17765139814433,25.229528427124023
1993-03-10,25.22953698540517,25.281414031982422,25.125782892250655,25.281414031982422
1993-03-11,25.298709603821134,25.367879008069448,25.177663146386582,25.212247848510742
1993-03-12,25.00472928084851,25.022021624749513,24.79722115403649,24.952852249145508
1993-03-15,24.935559566103176,25.073898315429684,24.935559566103176,25.073898315429688
1993-03-16,25.073898315429684,25.14306769009294,25.073898315429684,25.073898315429688
1993-03-17,25.03932036400503,25.03932036400503,24.883689229145883,24.91827392578125
