Ticker,SUE
AAL,-0.0344504998734541
AAP,0.285235893168761
AAPL,0.4978055415870584
ABBV,-0.03345996023039272
ABT,0.050055255051196346
ACN,0.5356081662437252
ADBE,7.926042711974353
ADI,2.4143242553344475
ADP,1.1406515283347087
AMAT,1.263650967269424
AMD,0.3257156721492299
AMGN,25.299903730150074
AMZN,0.036259087127145186
ANF,0.010761800130252394
AVGO,-1.0064834451682714
AVY,-0.043490930921978165
AI,-0.014122175423502649
CEG,-0.08841932139274496
DECK,-1.2306577121855358
RGTI,0.7135042824712362
B,0.5995094592537952
BA,0.01126260399212171
NOW,0.017932767990050242
VST,-1.5900666912121157
VRTX,-0.22775711055034764
PATH,0.6787001503727964
BB,0.27789309048503985
BIIB,-0.1579916299097249
BKNG,-0.42936002019251335
BMY,0.5142206611148922
CAR,-5.6091812423299166
CAT,-0.6553118999248191
CCL,0.3090224758111139
CDE,0.6842141619306216
CL,0.0007919665292550928
COIN,-0.08691698679923629
COST,1.7283182711042724
CRM,0.0027526287908522466
CSCO,1.0393272346230067
CVS,0.7392092368713715
CVX,-0.9241252152627061
DAL,6.707743716311114
DD,-0.8182861218995813
DE,-0.5390320867913365
DHR,-0.6089845323031426
DIS,72.58487215650239
DOCU,0.059160766842206544
DOW,-0.6149874863497103
EA,0.056016871021456395
EBAY,0.038609543613562385
EFX,0.239337678957959
ETSY,-4.183266541667001
F,-0.45835672346149564
FCX,-0.5598744509769129
FDX,0.10117514019349316
FSLR,-0.02877798699628858
GE,0.015388439326111475
GILD,0.09197000208515177
GLW,-0.07438733295195761
GM,1.5761644798530827
GOOGL,0.9752750051100759
GRMN,0.6600595688791634
GT,1.9003007947139425
HAL,-0.06924039811455897
HD,-0.7852566714343504
HL,4.195201775461958
HOG,-0.22359633815199295
HON,0.0
HPQ,-0.005670962119669136
IBM,-0.4563091024923558
INTC,-0.05457363750261179
IP,-1.718775299300548
ISRG,1.0170046984209637
JNJ,0.14690915301798882
KMB,-0.06918057956124972
KO,0.310417612772067
KOD,-2.6558760166767708
LLY,0.03502244545004345
LMT,0.0820597847477005
LRCX,-1.9892695319276863
LVS,-0.16021921436198824
MA,0.8294136965566522
MCD,-0.059338146100814
MDLZ,-1.0885734603568646
MDT,0.040320834488713264
MELI,0.297736614902495
MMC,-0.03678896720993556
MMM,0.007193835962077203
MO,-0.15245170436683336
MOS,0.31022347973114867
MRK,0.03441213916215446
MRNA,0.03173266444786707
MRVL,0.17228012404072748
MSFT,1.2641677578027308
MSI,21.345103917363737
MSTR,-1.5147193051601062
MU,0.37140277524822923
MUX,0.3699901797002565
NEM,0.9373083864703582
NFLX,0.04262287284665778
NG,0.0
NKE,-1.1453193724427604
NUE,-4.499411817367668
NVDA,-0.16448228039367405
ORCL,0.2491434137912448
ORLY,0.2375551246009621
OXY,0.0
PBI,0.5500134070359634
PCAR,-0.1332706889050119
PEP,-0.14212068815135856
PFE,-0.036618034045197326
PG,0.07843710102193747
PINS,0.10590155330022936
PLTR,0.4655373204322098
PM,0.8351570701868424
PSX,-0.31616450363208526
PYPL,0.4044130889556625
QCOM,0.4432744175172907
RBLX,0.6956666354680106
RIOT,-1.1975251696695541
ROKU,0.10350942402917508
ROST,-0.15616056984241877
RTX,-0.08737239409172433
SBUX,-2.1571825517915366
SE,0.11148697675348704
SLB,-0.8617009298864111
SNA,-1.4242427436883962
SNAP,1.5533465608552945
SNOW,-1.472939557984266
SPCE,-1.8734954599262343
SPGI,0.22753485602364631
SYY,-0.05321084397267639
T,0.14792467351150582
TEN,-0.8667115272869538
TGT,0.09151194947115661
TMO,0.7660114273226902
TMUS,0.03998755471733168
TRIP,0.17939212172605956
TSLA,-1.024922938093744
TWLO,2.2209992811480643
TXN,0.6989970853259002
UAL,5.1466975880220405
UBER,0.9904530663646408
UNH,11.586669994196667
UNP,0.07660552539220228
URBN,0.1938993151346452
VZ,0.11987899404146418
WBA,0.08417232234743204
WMT,0.9827129595124758
X,-4.481508402680038
XOM,-0.262592544963028
XRX,0.016524717037771423
YELP,0.18104192112669495
ZM,0.044945994831359914
ADS,-0.07916333746596842
AXP,0.48350790613843103
AIG,-0.015883885819463525
BAC,0.3334026102462389
BAS,-0.6419104135492528
SCHW,0.981633657211725
C,0.2275050858871676
IFF,-0.5012276092758785
JPM,0.48084572802085934
JCI,0.8245598551982628
SWKS,-3.3663327046272458
BK,0.29396954923502344
GS,0.2720518239174804
TJX,-0.12754928856026013
USB,0.7166410307871643
UPST,0.489637955089522
WFC,0.5226511231448236
