Price,Close
Ticker,AMX
Date,
2001-02-12,2.444307327270508
2001-02-13,2.2961671352386475
2001-02-14,2.1381523609161377
2001-02-15,2.1085238456726074
2001-02-16,2.1167526245117188
2001-02-20,2.0706655979156494
2001-02-21,2.0015344619750977
2001-02-22,1.9801355600357056
2001-02-23,1.9225252866744995
2001-02-26,1.9175877571105957
2001-02-27,1.9175877571105957
2001-02-28,1.886313796043396
2001-03-01,1.8435181379318237
2001-03-02,1.8073060512542725
2001-03-05,1.8352878093719482
2001-03-06,1.8451645374298096
2001-03-07,1.8649158477783203
2001-03-08,1.8879598379135132
2001-03-09,1.8484548330307007
2001-03-12,1.7908451557159424
2001-03-13,1.7661560773849487
2001-03-14,1.6805639266967773
2001-03-15,1.667396068572998
2001-03-16,1.71677565574646
2001-03-19,1.7974302768707275
2001-03-20,1.71513032913208
2001-03-21,1.695378065109253
2001-03-22,1.581803560256958
2001-03-23,1.575219988822937
2001-03-26,1.555468201637268
2001-03-27,1.5669898986816406
2001-03-28,1.5406543016433716
2001-03-29,1.4846901893615723
2001-03-30,1.5439456701278687
2001-04-02,1.548884391784668
2001-04-03,1.5143182277679443
2001-04-04,1.4962126016616821
2001-04-05,1.5900341272354126
2001-04-06,1.6114319562911987
2001-04-09,1.628616213798523
2001-04-10,1.7034107446670532
2001-04-11,1.72974693775177
2001-04-12,1.7255326509475708
2001-04-16,1.72974693775177
2001-04-17,1.7392276525497437
2001-04-18,1.775044322013855
2001-04-19,1.775044322013855
2001-04-20,1.6697007417678833
2001-04-23,1.711837649345398
2001-04-24,1.7329068183898926
2001-04-25,1.7592425346374512
2001-04-26,1.849838137626648
2001-04-27,1.890923023223877
2001-04-30,1.9383279085159302
2001-05-01,1.9751980304718018
2001-05-02,2.0552589893341064
2001-05-03,2.0763278007507324
2001-05-04,2.0594725608825684
2001-05-07,2.085808753967285
2001-05-08,2.0341897010803223
2001-05-09,2.0594725608825684
2001-05-10,2.106877088546753
2001-05-11,2.096343517303467
2001-05-14,2.081594705581665
2001-05-15,2.0636866092681885
2001-05-16,2.1016108989715576
2001-05-17,2.149015426635742
2001-05-18,2.249091386795044
2001-05-21,2.3028173446655273
2001-05-22,2.3333678245544434
2001-05-23,2.349168300628662
2001-05-24,2.2712130546569824
2001-05-25,2.2438247203826904
2001-05-29,2.2016870975494385
2001-05-30,2.149015426635742
2001-05-31,2.147960901260376
2001-06-01,2.149015426635742
2001-06-04,2.17535138130188
2001-06-05,2.2016870975494385
2001-06-06,2.349168300628662
2001-06-07,2.328099012374878
2001-06-08,2.2996559143066406
2001-06-11,2.2701611518859863
2001-06-12,2.2701611518859863
2001-06-13,2.2806951999664307
2001-06-14,2.264893054962158
2001-06-15,2.2427711486816406
2001-06-18,2.149015426635742
2001-06-19,2.085808753967285
2001-06-20,2.096343517303467
2001-06-21,2.1226789951324463
2001-06-22,2.110036611557007
2001-06-25,2.13555908203125
2001-06-26,2.1492695808410645
2001-06-27,2.1650874614715576
2001-06-28,2.187235116958618
2001-06-29,2.19989013671875
2001-07-02,2.2779312133789062
