Date,portfolio_return
2018-09-07,-0.004089685455758996
2018-09-10,0.0030501007359814867
2018-09-11,0.0013132129610005981
2018-09-12,0.0013350549516321308
2018-09-13,0.0034640762710623327
2018-09-14,-0.0004790968513907034
2018-09-17,-0.001701223798232854
2018-09-18,0.003650755862019284
2018-09-19,-0.00012361119508489394
2018-09-20,0.00604706947248177
2018-09-21,0.00022919668609919786
2018-09-24,-0.004109488836623565
2018-09-25,1.5428313823540104e-05
2018-09-26,-0.0010532049342029004
2018-09-27,0.0004975860483492078
2018-09-28,-0.0016479066127794817
2018-10-01,0.0015490732056093527
2018-10-02,-0.0030594921595216264
2018-10-03,-0.0013303798020923407
2018-10-04,-0.008983421371188549
2018-10-05,-0.004647036728333442
2018-10-08,-0.0007546134200238752
2018-10-09,-0.0021657871474173194
2018-10-10,-0.0206925653463792
2018-10-11,-0.012613721767514663
2018-10-12,0.006553291524146454
2018-10-15,-0.0012824468709546567
2018-10-16,0.014469559729747106
2018-10-17,-0.004097445832282776
2018-10-18,-0.011154231782850254
2018-10-19,0.0017835401111699677
2018-10-22,-0.002570445118356379
2018-10-23,-0.005665705361320305
2018-10-24,-0.018630371354977446
2018-10-25,0.011815108175451106
2018-10-26,-0.008540948971264695
2018-10-29,-0.0045769084203615695
2018-10-30,0.010117859585969623
2018-10-31,0.004549056090320036
2018-11-01,0.010629676111968855
2018-11-02,-0.0014620498326228804
2018-11-05,0.002293278685629452
2018-11-06,0.0030223611261912977
2018-11-07,0.011252598238986033
2018-11-08,-0.0055189134395987275
2018-11-09,-0.005567646080751487
2018-11-12,-0.011290283196367823
2018-11-13,0.00019962220415273844
2018-11-14,-0.0012319125722590864
2018-11-15,0.003968548949852946
2018-11-16,0.0023733558917846454
2018-11-19,-0.008401553062456556
2018-11-20,-0.013763428225452535
2018-11-21,0.007302070123233228
2018-11-23,-0.004694812315576291
2018-11-26,0.009111636285961122
2018-11-27,-0.000480852921041186
2018-11-28,0.012608042527493857
2018-11-29,-0.0010371205122538198
2018-11-30,0.0014781860087826227
2018-12-03,0.009853188285197633
2018-12-04,-0.020003645946892502
2018-12-06,-0.001334487508993065
2018-12-07,-0.01251392249477703
2018-12-10,-0.003323728612281618
2018-12-11,0.0003277415246553783
2018-12-12,0.005578515204596024
2018-12-13,-0.0016715491954831685
2018-12-14,-0.010117777939771578
2018-12-17,-0.013786652891785333
2018-12-18,0.0014320789884030962
2018-12-19,-0.008650123725898662
2018-12-20,-0.009225517690328288
2018-12-21,-0.012049031250094499
2018-12-24,-0.014037691134332607
2018-12-26,0.027326333132272552
2018-12-27,0.0028442099527968834
2018-12-28,0.0013059644240055236
2018-12-31,0.0031115000362044176
2019-01-02,-6.263432310942281e-05
2019-01-03,-0.008921285794650425
2019-01-04,0.022701934153720127
2019-01-07,0.005041826785382985
2019-01-08,0.00688068105337356
2019-01-09,0.008344633460883077
2019-01-10,0.003851465654762376
2019-01-11,-0.00193145229915066
2019-01-14,-0.0043241754010844066
2019-01-15,0.006233459950990605
2019-01-16,0.0035159778316648624
2019-01-17,0.004482773972080611
2019-01-18,0.00777416648631819
2019-01-22,-0.009083901038239806
2019-01-23,0.0014140736432583178
2019-01-24,0.0038022759938882264
2019-01-25,0.007987804737802784
2019-01-28,-0.00423934669115511
2019-01-29,0.0024177636808693005
2019-01-30,0.009812412132311987
2019-01-31,0.0036396060520921705
2019-02-01,0.0002865609849266537
2019-02-04,0.003583955261217908
2019-02-05,0.004857857153163181
2019-02-06,-0.0029990953395163666
2019-02-07,-0.006064404424835224
2019-02-08,-0.001657550835129673
2019-02-11,3.98961328819114e-05
2019-02-12,0.0071584808347506575
2019-02-13,0.0007109232338407212
2019-02-14,1.704998864187071e-05
2019-02-15,0.007611517918964351
2019-02-19,0.002677791737510904
2019-02-20,0.0018464501787607947
2019-02-21,-0.0021846354568745173
2019-02-22,0.004867136507126735
2019-02-25,0.00034837154780239534
2019-02-26,0.000850175876229664
2019-02-27,-0.0019257306905798189
2019-02-28,-0.0026476472742790525
2019-03-01,0.002186496823697748
2019-03-04,-0.0014915433157537406
2019-03-05,0.0003279380844206093
2019-03-06,-0.003906072221208934
2019-03-07,-0.00685943517828036
2019-03-08,-0.0011276950366187366
2019-03-11,0.010351188928285926
2019-03-12,0.0019239112054844298
2019-03-13,0.004365531429070901
2019-03-14,-0.0010812997279342595
2019-03-15,0.004277669836209519
2019-03-18,0.0034235694403243143
2019-03-19,-0.0003776937847021488
2019-03-20,-0.0005899618762554626
2019-03-21,0.004722296275834781
2019-03-22,-0.013583421302289145
2019-03-25,-0.00013672622545515267
2019-03-26,0.0044757692086959235
2019-03-27,-0.0010500201772027705
2019-03-28,0.0026007683680501436
2019-03-29,0.0033599476106688456
2019-04-01,0.008603809912252647
2019-04-02,0.0004910770926976782
2019-04-03,0.0026438666631670715
2019-04-04,0.000998295706316954
2019-04-05,0.0035558023811492756
2019-04-08,0.00021536094009900754
2019-04-09,-0.004288720471882312
2019-04-10,0.0038612176408410414
2019-04-11,-0.0008040032040605993
2019-04-12,0.004657135696728009
2019-04-15,-0.0018750475295452817
2019-04-16,-0.000682297979059343
2019-04-17,-0.0008864865719606763
2019-04-18,0.0014057309579636357
2019-04-22,-0.001342307381402108
2019-04-23,0.005125728250673122
2019-04-24,-0.0018016874948128092
2019-04-25,-0.0015574990593029913
2019-04-26,0.003813755240101457
2019-04-29,-0.00018616877590694748
2019-04-30,0.0013703173582261252
2019-05-01,-0.004952879359945195
2019-05-02,-0.0011539662602959577
2019-05-03,0.00735501311244251
2019-05-06,-0.004557667298744206
2019-05-07,-0.012350853360257352
2019-05-08,-0.0008275329130242981
2019-05-09,-0.003596736708377124
2019-05-10,0.0037308865049446413
2019-05-13,-0.01655054622821258
2019-05-14,0.007711188593710539
2019-05-15,0.003115142619658329
2019-05-16,0.004631968132815611
2019-05-17,-0.005531419755463884
2019-05-20,-0.0048515517951978945
2019-05-21,0.005751555172711931
2019-05-22,-0.0032850083025843468
2019-05-23,-0.00795788259270449
2019-05-24,0.00363106102849291
2019-05-28,-0.005530606995976972
2019-05-29,-0.00458799677668571
2019-05-30,0.0014919201024202523
2019-05-31,-0.006703212919037783
2019-06-03,0.0023278258923974393
2019-06-04,0.012153850378914878
2019-06-05,0.0023097425843364274
2019-06-06,0.0033476548825967178
2019-06-07,0.0068386345560656585
2019-06-10,0.002229212522795687
2019-06-11,0.002725262331493927
2019-06-12,-0.002423075911894901
2019-06-13,0.004115076669598849
2019-06-14,-0.002534286396747509
2019-06-17,6.275669656468089e-05
2019-06-18,0.00920877451872575
2019-06-19,0.004225478912824854
2019-06-20,0.007341385240592113
2019-06-21,-0.00362220620611573
2019-06-24,-0.0008009364084959447
2019-06-25,-0.005486380828473847
2019-06-26,-0.0005901873302476712
2019-06-27,0.004444675643934714
2019-06-28,0.004048557586157875
2019-07-01,0.004789136076933121
2019-07-02,0.0012708563253960524
2019-07-03,0.0063354922052150766
2019-07-05,-0.0028562089078024155
2019-07-08,-0.003366530595561401
2019-07-09,-0.0019312999345630576
2019-07-10,0.0037444842740742778
2019-07-11,-0.0007862501215520568
2019-07-12,0.002983900468662437
2019-07-15,-0.00015238551668694803
2019-07-16,-0.0020740426405250977
2019-07-17,-0.0035882383339686076
2019-07-18,0.0024065494523158428
2019-07-19,-0.0027069017747529235
2019-07-22,0.0006917986543658827
2019-07-23,0.005470884656656438
2019-07-24,0.003114938874738149
2019-07-25,-0.0060285750469948
2019-07-26,0.003591446552360367
2019-07-29,-0.0004845880668649882
2019-07-30,-0.0028732236927433543
2019-07-31,-0.006175176278104899
2019-08-01,-0.006622640850124961
2019-08-02,-0.005371688826625198
2019-08-05,-0.018936881350909263
2019-08-06,0.0073241341431998785
2019-08-07,0.002948298261056492
2019-08-08,0.01065923929255086
2019-08-09,-0.005598523780450216
2019-08-12,-0.006871651368795195
2019-08-13,0.008700244480768027
2019-08-14,-0.020282879377511186
2019-08-15,0.0027878205992730946
2019-08-16,0.01037714374159764
2019-08-19,0.005535486563516034
