Ticker,OperatingIncome_TTM,EnterpriseValue,OperatingIncome_EV_Ratio,Eight_Year_ROA,Eight_Year_ROC,FCF_Sum_to_Assets,Eight_Year_Gross_Margin_Growth,Margin_Stability,Years_Data_Available,Current_ROA,FS_ROA,Current_FCFTA,FS_FCFTA,ACCRUAL,FS_ACCRUAL,LEVER,FS_LEVER,LIQUID,FS_LIQUID,ROA_Change,FS_ROA_Change,FCFTA_Change,FS_FCFTA_Change,MARGIN,FS_MARGIN,TURN,FS_TURN,OperatingIncome_EV_Ratio_Percentile,Eight_Year_ROA_Percentile,Eight_Year_ROC_Percentile,FCF_Sum_to_Assets_Percentile,Eight_Year_Gross_Margin_Growth_Percentile,Margin_Stability_Percentile,Current_ROA_Percentile,Current_FCFTA_Percentile,ACCRUAL_Percentile,LEVER_Percentile,LIQUID_Percentile,ROA_Change_Percentile,FCFTA_Change_Percentile,MARGIN_Percentile,TURN_Percentile,Max_Margin_Metric_Percentile,Max_Margin_Source,Franchise_Power_Percentile,Financial_Strength_Score,P_FS,QUALITY,QUANTITATIVE_VALUE
AAPL,127364000000.0,3068069150720,0.04151275402971632,0.2711118541215891,0.5709332656968666,1.1309852594662722,0.03414148623548474,23.772015563222066,5,0.25682503150857583,1,0.2981177050797304,1,0.04129267357115457,1,0.0349710721479109,1,-0.2162316235691023,0,-0.018273314129188922,0,0.01567640756964056,1,0.020752202380263707,1,-0.015689895730449654,0,0.75,0.875,1.0,1.0,0.625,0.625,0.875,0.875,1.0,0.875,0.25,0.25,0.875,0.75,0.5,0.625,Growth,0.875,6,0.6666666666666666,0.7708333333333333,2.270833333333333
MSFT,122130000000.0,3389147316224,0.03603561267914151,0.18262024610771732,0.291149946709923,0.4975232494342621,0.004039438087957592,122.34987849752731,4,0.17208583985957596,1,0.14462387950711003,1,-0.027461960352465925,0,0.017200607620940084,1,0.12982834413314182,1,-0.0035578869594620477,0,0.0002586737669698358,1,0.008443579444803562,1,-0.035785221430627734,0,0.625,0.5,0.75,0.5,0.375,1.0,0.5,0.5,0.875,0.625,0.625,0.375,0.625,0.25,0.375,1.0,Stability,0.6875,6,0.6666666666666666,0.6770833333333333,1.9270833333333333
GOOG,117524000000.0,1996848103424,0.05885475204572713,0.19517147654936062,0.27326664406441425,0.5980619914004477,0.007326110794422025,49.003448318877034,5,0.22235794747876764,1,0.16160584200987882,1,-0.06075210546888882,0,0.006247061141559894,1,-0.3809734383913308,0,0.03896712459958515,1,-0.011098883730195547,0,0.01575387422158603,1,0.013458759802479792,1,1.0,0.75,0.625,0.75,0.5,0.75,0.625,0.625,0.25,0.5,0.125,0.625,0.375,0.5,0.75,0.75,Stability,0.71875,6,0.6666666666666666,0.6927083333333333,2.692708333333333
AMZN,71691000000.0,2198548774912,0.032608328192705,0.05576607565329739,0.0954441715754919,0.05357068558827577,0.05141156964654048,14.783179587985607,5,0.09481288026449286,1,0.052613723287469556,1,-0.042199156977023304,0,0.02557020229663831,1,-0.023967781117107956,0,0.037173836134866106,1,-0.008420198971336855,0,0.018723045091562196,1,-0.06800150847782938,0,0.5,0.125,0.125,0.125,1.0,0.375,0.25,0.25,0.375,0.75,0.375,0.5,0.5,0.625,0.25,1.0,Growth,0.34375,5,0.5555555555555556,0.4496527777777778,1.4496527777777777
TSLA,7082000000.0,1054693392384,0.0067147476708771655,0.1095393710714978,0.1481418284099294,0.15542721389366757,-0.10930793081716483,5.09601593835501,5,0.05840910952732039,1,0.029335627099205373,1,-0.029073482428115017,0,-0.015527496698197595,0,0.2802831532601133,1,-0.08227070063606665,0,-0.011529892794246013,0,-0.003862650601107187,0,-0.10738246661608541,0,0.125,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.75,0.25,1.0,0.125,0.25,0.125,0.125,0.125,Growth,0.21875,3,0.3333333333333333,0.27604166666666663,0.5260416666666666
META,73117000000.0,1577144025088,0.04636038233472069,0.1887043837120086,0.255836849849866,0.5666355133415926,0.003579750067424392,56.391159334857136,5,0.22589783158367566,1,0.1958747201634463,1,-0.03002311142022937,0,-0.020371814893555204,0,-0.018338744567095944,0,0.05562743184148955,1,0.0039601471459349835,1,0.009080148289560386,1,0.00840811339664671,1,0.875,0.625,0.5,0.625,0.25,0.875,0.75,0.75,0.625,0.125,0.5,0.875,0.75,0.375,0.625,0.875,Stability,0.65625,6,0.6666666666666666,0.6614583333333333,2.411458333333333
NFLX,11132079000.0,517586419712,0.021507672102746067,0.11985599679082437,0.18127828739630059,0.2859224513332687,0.03420239032314387,15.02054039950206,4,0.16243837866952038,1,0.12906540610736744,1,-0.033372972562152936,0,0.0016975303584343404,1,0.13559726810740336,1,0.05146425719301681,1,-0.01305373812954369,0,0.04518717096947805,1,0.03520229805628561,1,0.25,0.375,0.375,0.375,0.75,0.5,0.375,0.375,0.5,0.375,0.75,0.75,0.125,1.0,0.875,0.75,Growth,0.46875,7,0.7777777777777778,0.6232638888888888,1.1232638888888888
NVDA,81453000000.0,3182979973120,0.025590170433953018,0.3418927749849734,0.4438979400809433,0.8943826668219819,0.049185525500182514,8.220574398702446,4,0.6530407433625147,1,0.5452728918199657,1,-0.10776785154254898,0,0.05286440069848397,1,0.26855999289097987,1,0.2002656703342771,1,0.13416955686378268,1,0.022711237677329632,1,0.2424370021162382,1,0.375,1.0,0.875,0.875,0.875,0.25,1.0,1.0,0.125,1.0,0.875,1.0,1.0,0.875,1.0,0.875,Growth,0.90625,8,0.8888888888888888,0.8975694444444444,1.6475694444444444
