,skewness,rank,demeaned_rank,weight
EA,-3.3074443195680048,312.0,155.5,0.012779421433267588
UNH,-3.275591579432569,311.0,154.5,0.012697238658777121
GLOB,-2.8396165267194813,310.0,153.5,0.012615055884286654
BBAS3.SA,-2.7602190119672256,309.0,152.5,0.012532873109796188
TGT,-2.1514078048774983,308.0,151.5,0.012450690335305721
NKE,-2.0389916943730544,307.0,150.5,0.012368507560815254
F,-2.0122753980339803,306.0,149.5,0.012286324786324788
PDD,-1.7688208087077877,305.0,148.5,0.01220414201183432
ABBV,-1.7663736291740877,304.0,147.5,0.012121959237343853
JMIA,-1.7551253076199076,303.0,146.5,0.012039776462853386
VRTX,-1.7257640893031718,302.0,145.5,0.01195759368836292
DECK,-1.6551067811933355,301.0,144.5,0.011875410913872453
TMUS,-1.6053772441387268,300.0,143.5,0.011793228139381986
SDA,-1.5963658273042753,299.0,142.5,0.01171104536489152
HPQ,-1.4546315250119073,298.0,141.5,0.011628862590401053
MRK,-1.4091371996769684,297.0,140.5,0.011546679815910586
LMT,-1.2957120211880597,296.0,139.5,0.01146449704142012
AZN,-1.2584937294335152,295.0,138.5,0.011382314266929651
CVX,-1.2203610251255284,294.0,137.5,0.011300131492439185
AEG,-1.1029324706603496,293.0,136.5,0.011217948717948718
NEM,-1.0687013754097547,292.0,135.5,0.011135765943458251
VZ,-1.0595624433479183,291.0,134.5,0.011053583168967785
HSBC,-1.0523810597244831,290.0,133.5,0.010971400394477318
IFF,-1.0447246231070182,289.0,132.5,0.010889217619986851
PHG,-1.0329310560504579,288.0,131.5,0.010807034845496385
MMC,-1.0131656375133218,287.0,130.5,0.010724852071005918
JNJ,-1.0075504642433148,286.0,129.5,0.010642669296515452
XYZ,-0.9852183874879874,285.0,128.5,0.010560486522024985
RTX,-0.91365244284692,284.0,127.5,0.010478303747534517
KMB,-0.9095727675719822,283.0,126.5,0.01039612097304405
SHEL,-0.8956726493961651,282.0,125.5,0.010313938198553583
BP,-0.8504303708394283,281.0,124.5,0.010231755424063117
MSI,-0.8125874420230693,280.0,123.5,0.01014957264957265
WEGE3.SA,-0.8111576836765766,279.0,122.5,0.010067389875082183
ADBE,-0.8080222469157922,278.0,121.5,0.009985207100591717
VOD,-0.8014210388370386,277.0,120.5,0.00990302432610125
VST,-0.788008708360704,276.0,119.5,0.009820841551610783
SWKS,-0.7866103202326595,275.0,118.5,0.009738658777120317
PG,-0.7813657062955027,274.0,117.5,0.00965647600262985
CLS,-0.7414627615497569,273.0,116.5,0.009574293228139382
BAC,-0.7163683862563919,272.0,115.5,0.009492110453648915
XOM,-0.698217440762372,271.0,114.5,0.009409927679158448
MELI,-0.6767886975132947,270.0,113.5,0.009327744904667982
GFI,-0.6757990920885388,269.0,112.5,0.009245562130177515
MDT,-0.6690636932619821,268.0,111.5,0.009163379355687049
PSX,-0.6211853815267312,267.0,110.5,0.009081196581196582
LREN3.SA,-0.6069125890805671,266.0,109.5,0.008999013806706115
AMGN,-0.6061893957582796,265.0,108.5,0.008916831032215649
C,-0.603980879471445,264.0,107.5,0.008834648257725182
GE,-0.5841222410524223,263.0,106.5,0.008752465483234714
RENT3.SA,-0.5628039721096127,262.0,105.5,0.008670282708744247
PSO,-0.5490302982173504,261.0,104.5,0.00858809993425378
MUFG,-0.5286541014243552,260.0,103.5,0.008505917159763314
TTE,-0.5279968687170906,259.0,102.5,0.008423734385272847
AIG,-0.5141671305932716,258.0,101.5,0.00834155161078238
NVS,-0.5117256056521723,257.0,100.5,0.008259368836291914
E,-0.5029454704119642,256.0,99.5,0.008177186061801447
AEM,-0.49703363170414006,255.0,98.5,0.00809500328731098
MRNA,-0.4964208718842074,254.0,97.5,0.008012820512820514
HL,-0.4946017874921398,253.0,96.5,0.007930637738330047
CL,-0.4698710853227647,252.0,95.5,0.007848454963839579
ASML,-0.46148539942580147,251.0,94.5,0.007766272189349113
HDB,-0.4439987226334965,250.0,93.5,0.007684089414858646
SNAP,-0.4295983308973445,249.0,92.5,0.007601906640368179
PYPL,-0.40430300566054794,248.0,91.5,0.007519723865877712
PEP,-0.3988449640908648,247.0,90.5,0.007437541091387246
T,-0.39664793457611186,246.0,89.5,0.007355358316896779
OXY,-0.39437381864654464,245.0,88.5,0.007273175542406312
EQNR,-0.3940608217855327,244.0,87.5,0.007190992767915845
V,-0.3912646818665518,243.0,86.5,0.007108809993425378
BIIB,-0.37417953398361703,242.0,85.5,0.0070266272189349116
SCHW,-0.36843781057381453,241.0,84.5,0.006944444444444445
SPGI,-0.3643123317887744,240.0,83.5,0.006862261669953978
BKR,-0.36108146741792096,239.0,82.5,0.006780078895463511
EBAY,-0.3558956914104353,238.0,81.5,0.006697896120973044
USB,-0.354056050037103,237.0,80.5,0.0066157133464825775
NMR,-0.34862439150710944,236.0,79.5,0.006533530571992111
VIV,-0.3478182299500728,235.0,78.5,0.006451347797501644
NGG,-0.34430895473960693,234.0,77.5,0.006369165023011178
COST,-0.3281214371897654,233.0,76.5,0.00628698224852071
BRK-B,-0.3220223648743634,232.0,75.5,0.0062047994740302434
MA,-0.3177617409161212,231.0,74.5,0.006122616699539777
DHR,-0.3106896312321543,230.0,73.5,0.00604043392504931
PCAR,-0.309806332440565,229.0,72.5,0.0059582511505588435
ANF,-0.30816605560598903,228.0,71.5,0.005876068376068376
FDX,-0.28961384383301264,227.0,70.5,0.005793885601577909
DD,-0.2868455443050024,226.0,69.5,0.005711702827087443
MCD,-0.284217777613954,225.0,68.5,0.005629520052596976
KEP,-0.27152645941720166,224.0,67.5,0.0055473372781065095
PAAS,-0.2708747555845305,223.0,66.5,0.005465154503616042
BCS,-0.25638730013401945,222.0,65.5,0.005382971729125575
ETSY,-0.2455487275081961,221.0,64.5,0.005300788954635109
SYY,-0.24531544244773826,220.0,63.5,0.005218606180144642
UL,-0.2415014403039451,219.0,62.5,0.005136423405654175
INTC,-0.23688858881641234,218.0,61.5,0.005054240631163709
SAN,-0.22768080054812348,217.0,60.5,0.004972057856673241
XRX,-0.2236680970437235,216.0,59.5,0.004889875082182775
AGRO,-0.22181726677110816,215.0,58.5,0.004807692307692308
XP,-0.20890059879622142,214.0,57.5,0.004725509533201841
ELP,-0.20846819000229586,213.0,56.5,0.004643326758711375
PBR,-0.20734237186954468,212.0,55.5,0.004561143984220907
PFE,-0.19760324991740355,211.0,54.5,0.0044789612097304405
ADP,-0.1932224291682854,210.0,53.5,0.004396778435239974
KGC,-0.18898164449460894,209.0,52.5,0.004314595660749507
NEC1.HM,-0.1770244395614966,208.0,51.5,0.004232412886259041
BSBR,-0.17475982959468503,207.0,50.5,0.004150230111768573
PATH,-0.15892108860236773,206.0,49.5,0.0040680473372781065
LYG,-0.15616993194585976,205.0,48.5,0.00398586456278764
GM,-0.1475584268756072,204.0,47.5,0.003903681788297173
ROST,-0.13985121818773008,203.0,46.5,0.003821499013806706
TSM,-0.13759520779780962,202.0,45.5,0.0037393162393162395
EBR,-0.131940395023771,201.0,44.5,0.003657133464825773
TEN,-0.12231793454373394,200.0,43.5,0.0035749506903353058
AMX,-0.11546521051968614,199.0,42.5,0.003492767915844839
YZCAY,-0.11511809242705448,198.0,41.5,0.0034105851413543725
PAGS,-0.10801091939096066,197.0,40.5,0.0033284023668639054
MU,-0.10085522622516552,196.0,39.5,0.0032462195923734388
HAL,-0.09984508087691099,195.0,38.5,0.0031640368178829717
ERIC,-0.08965115859200339,194.0,37.5,0.003081854043392505
AKO-B,-0.07500255633823119,193.0,36.5,0.0029996712689020384
SBS,-0.07457284552356534,192.0,35.5,0.0029174884944115713
GOOGL,-0.05650255250044022,191.0,34.5,0.0028353057199211047
LND,-0.045601678329989355,190.0,33.5,0.002753122945430638
MOS,-0.04334816823447552,189.0,32.5,0.002670940170940171
QCOM,-0.042849828435125935,188.0,31.5,0.0025887573964497044
TIIAY,-0.024028710291015897,187.0,30.5,0.0025065746219592373
HON,-0.015187796596021711,186.0,29.5,0.0024243918474687706
BRFS,-0.013753947883731733,185.0,28.5,0.002342209072978304
ITUB,-0.012750615598538458,184.0,27.5,0.002260026298487837
SLB,-0.009458751613684811,183.0,26.5,0.0021778435239973703
RIO,-0.000565991879822817,182.0,25.5,0.0020956607495069036
BKNG,0.000164967471123111,181.0,24.5,0.0020134779750164366
CAH,0.002540814208699866,180.0,23.5,0.00193129520052597
ORCL,0.006980132723826712,179.0,22.5,0.001849112426035503
NVDA,0.01535258705716333,178.0,21.5,0.0017669296515450362
MBG,0.018927990152787018,177.0,20.5,0.0016847468770545694
BABA,0.02474915508676449,176.0,19.5,0.0016025641025641027
ROKU,0.02947931734220107,175.0,18.5,0.0015203813280736359
AMAT,0.03456636749908395,174.0,17.5,0.001438198553583169
FMX,0.053734815601675756,173.0,16.5,0.0013560157790927022
MUX,0.054511766343413974,172.0,15.5,0.0012738330046022355
TX,0.06812033994342602,171.0,14.5,0.0011916502301117687
TIMB,0.0724406837915059,170.0,13.5,0.0011094674556213018
ABT,0.08607339152057901,169.0,12.5,0.001027284681130835
TCOM,0.0867840046047936,168.0,11.5,0.0009451019066403682
MRVL,0.09213451365814138,167.0,10.5,0.0008629191321499015
MDLZ,0.09255262644583007,166.0,9.5,0.0007807363576594346
PRIO3.SA,0.10497691614159449,165.0,8.5,0.0006985535831689678
KO,0.10742833189941407,164.0,7.5,0.000616370808678501
HD,0.1104511274325582,163.0,6.5,0.0005341880341880342
BIOX,0.11070616281764115,162.0,5.5,0.0004520052596975674
JOYY,0.12839823045771726,161.0,4.5,0.00036982248520710064
AVY,0.13217907524423284,160.0,3.5,0.0002876397107166338
ACN,0.13234685939546628,159.0,2.5,0.000205456936226167
