Ticker,Date,SUE
KB,2025-03-31,2.1048511017545244
ERJ,2025-03-31,2.230824672186214
DD,2025-03-31,2.3053041296483623
VRSN,2025-03-31,2.318094172218054
GOOGL,2025-03-31,2.450452480901019
MDT,2025-04-30,2.465203688608153
V,2025-03-31,2.491654267424148
MSFT,2025-03-31,2.499292232095699
RACE,2025-03-31,2.5134995451928166
BITF,2025-03-31,2.590404748682849
ISRG,2025-03-31,2.684233301708949
PAAS,2025-03-31,2.701466082029816
KOD,2025-03-31,2.8392508903298257
GGB,2025-03-31,2.866152891330307
SCCO,2025-03-31,3.0541636030830843
NVS,2025-03-31,3.2060617478994473
CVS,2025-03-31,3.292956379447388
AMGN,2025-03-31,3.3075742918740993
AMAT,2025-04-30,3.332571030617795
VIV,2025-03-31,3.498942096900714
KEP,2025-03-31,3.5884280522710896
SAN,2025-03-31,3.9881000632316175
BMA,2025-03-31,4.495869940507082
ADBE,2025-02-28,4.957976727698906
HWM,2025-03-31,5.298473444739787
AVGO,2025-01-31,5.651224449726114
MRVL,2025-04-30,6.82516162355315
VIST,2025-03-31,12.602903655427438
ING,2025-03-31,inf
