Ticker;MarketCap;ActualPrice;TargetMeanPrice;TargetMeanPricePct;FinancialCurrency;OperatingIncome_TTM;EnterpriseValue;OperatingIncome_EV_Ratio;Eight_Year_ROA;Eight_Year_ROC;FCF_Sum_to_Assets;Eight_Year_Gross_Margin_Growth;Margin_Stability;Years_Data_Available;Current_ROA;FS_ROA;Current_FCFTA;FS_FCFTA;ACCRUAL;FS_ACCRUAL;LEVER;FS_LEVER;LIQUID;FS_LIQUID;ROA_Change;FS_ROA_Change;FCFTA_Change;FS_FCFTA_Change;MARGIN;FS_MARGIN;TURN;FS_TURN;OperatingIncome_EV_Ratio_Percentile;Eight_Year_ROA_Percentile;Eight_Year_ROC_Percentile;FCF_Sum_to_Assets_Percentile;Eight_Year_Gross_Margin_Growth_Percentile;Margin_Stability_Percentile;Current_ROA_Percentile;Current_FCFTA_Percentile;ACCRUAL_Percentile;LEVER_Percentile;LIQUID_Percentile;ROA_Change_Percentile;FCFTA_Change_Percentile;MARGIN_Percentile;TURN_Percentile;Max_Margin_Metric_Percentile;Max_Margin_Source;Franchise_Power_Percentile;Financial_Strength_Score;P_FS;QUALITY
FSLR;17159040000;160;201.01772;26%;USD;1372953000;16507305984;8%;6%;8%;-12%;21%;1.492253812;5;11%;1;-3%;0;-13%;0;1%;1;-110%;0;3%;1;5%;1;5%;1;3%;1;84%;54%;25%;11%;97%;5%;74%;10%;5%;66%;5%;74%;87%;89%;64%;97%;Growth;47%;6;67%;57%
HAL;16949281792;19.715;29.11519;48%;USD;3738000000;23971911680;16%;8%;28%;27%;12%;6.245823786;5;10%;1;9%;1;0%;0;3%;1;-1%;0;-1%;0;1%;1;0%;0;-4%;0;99%;67%;55%;56%;93%;20%;72%;68%;43%;81%;59%;32%;61%;32%;23%;93%;Growth;68%;4;44%;56%
GFI;20685508608;23.07;23;0%;USD;2093200000;21977434112;10%;10%;27%;10%;1%;12.83200697;5;12%;1;4%;1;-8%;0;-10%;0;-11%;0;4%;1;2%;1;6%;1;-3%;0;90%;74%;53%;30%;68%;39%;79%;35%;9%;4%;39%;81%;74%;91%;24%;68%;Growth;56%;5;56%;56%
B;32765833216;19.0509;24.35615;28%;USD;4724000000;41839280128;11%;3%;11%;9%;-2%;7.045437969;5;5%;1;3%;1;-2%;0;0%;1;-27%;0;2%;1;1%;1;8%;1;2%;1;95%;36%;28%;28%;28%;21%;42%;29%;28%;53%;19%;70%;63%;93%;62%;28%;Growth;30%;7;78%;54%
OXY;40270721024;40.92;49.53962;21%;USD;6100000000;72483168256;8%;8%;12%;36%;6%;4.942619819;5;4%;1;5%;1;2%;1;-4%;0;4%;1;-3%;0;-3%;0;0%;0;-7%;0;85%;63%;32%;68%;88%;16%;37%;44%;63%;11%;69%;21%;13%;36%;15%;88%;Growth;63%;4;44%;54%
EQNR;64060997632;23.675;25.328;7%;USD;31616000000;68860502016;46%;10%;50%;53%;-4%;6.151441544;5;7%;1;6%;1;-1%;0;1%;1;-24%;0;-2%;0;-4%;0;-3%;0;4%;1;100%;71%;75%;82%;19%;20%;53%;49%;40%;60%;21%;28%;11%;11%;72%;20%;Stability;62%;4;44%;53%
RIO;1.02E+11;61.5799;77.93833;27%;USD;14784000000;1.07E+11;14%;13%;26%;40%;-7%;10.18260421;5;11%;1;6%;1;-5%;0;0%;0;-6%;0;2%;1;-2%;0;-4%;0;0%;1;97%;85%;52%;74%;10%;30%;76%;48%;12%;40%;46%;69%;21%;10%;44%;30%;Stability;60%;4;44%;52%
UNH;2.66E+11;292.97;397.3644;36%;USD;33475000000;3.26E+11;10%;7%;;30%;-3%;22.71112021;5;5%;1;7%;1;2%;1;-3%;0;3%;1;-3%;0;-2%;0;-2%;0;-2%;0;93%;60%;;61%;23%;55%;45%;54%;68%;18%;68%;18%;16%;15%;32%;55%;Stability;59%;4;44%;52%
PCAR;48970801152;93.285;100.97474;8%;USD;4355500000;57127321600;8%;9%;17%;18%;3%;11.44764234;5;10%;1;7%;1;-3%;0;-2%;0;14%;1;-2%;0;-1%;0;-2%;0;-9%;0;80%;69%;40%;42%;80%;35%;70%;52%;18%;26%;82%;26%;38%;18%;12%;80%;Growth;58%;3;33%;46%
XOM;4.43E+11;102.72;123.64538;20%;USD;39557000000;4.71E+11;8%;10%;17%;35%;-1%;16.2984944;5;7%;1;7%;1;-1%;0;2%;1;-17%;0;-2%;0;-2%;0;-3%;0;-14%;0;85%;72%;39%;67%;31%;45%;61%;52%;41%;70%;30%;23%;19%;13%;4%;45%;Stability;56%;3;33%;45%
TTE;1.30E+11;57.855;67.72889;17%;USD;23076000000;1.62E+11;14%;6%;22%;31%;0%;23.10155121;5;6%;1;6%;1;0%;1;-1%;0;-2%;0;-2%;0;-3%;0;0%;0;-9%;0;98%;56%;46%;62%;47%;56%;49%;47%;49%;32%;56%;23%;16%;34%;11%;56%;Stability;55%;3;33%;44%
VIST;5279220736;49.62;69.38078;40%;USD;635581000;5884388352;11%;11%;25%;5%;7%;8.483812052;5;11%;1;-2%;0;-14%;0;-12%;0;-19%;0;-4%;0;-3%;0;-1%;0;-6%;0;93%;75%;50%;19%;90%;25%;76%;10%;5%;3%;28%;15%;13%;22%;17%;90%;Growth;59%;1;11%;35%
ARCO;1531520128;7.27;10.92778;50%;USD;302111000;3281689088;9%;5%;15%;8%;2%;18.32687984;5;5%;1;-2%;0;-7%;0;-1%;0;-11%;0;-1%;0;-3%;0;-1%;0;11%;1;87%;44%;34%;26%;76%;48%;47%;11%;10%;31%;39%;33%;14%;25%;94%;76%;Growth;45%;2;22%;34%
GT;3127019264;10.945;13.45714;23%;USD;884000000;11469877248;8%;0%;9%;-5%;-3%;10.813947;4;0%;1;-2%;0;-3%;0;1%;1;-3%;0;4%;1;-2%;0;2%;1;-3%;0;81%;19%;26%;13%;22%;33%;17%;11%;20%;64%;54%;79%;17%;79%;26%;33%;Stability;22%;4;44%;33%
