Year,Quarter,EPS,Prev Year EPS,YoY % Change
2025,Q3,3.46,2.94,0.17687074829931973
2025,Q1,3.3,2.99,0.10367892976588615
2024,Q4,2.950000000000001,2.6899999999999995,0.0966542750929374
2024,Q3,2.94,2.45,0.1999999999999999
2024,Q2,2.93,2.2,0.3318181818181818
2024,Q1,2.99,2.35,0.27234042553191495
2023,Q4,2.6899999999999995,2.24,0.20089285714285682
2023,Q3,2.45,2.22,0.10360360360360359
2023,Q2,2.2,2.48,-0.11290322580645154
