Ticker,Momentum,FIP
HSBC,0.5665466879846319,-0.2182539682539682
CAH,0.5830550360398392,-0.21428571428571425
KGC,1.4085422980066906,-0.2103174603174603
LYG,0.8242520447050974,-0.1865079365079365
TIMB,0.8978585513886457,-0.18253968253968256
CLS,3.0412953967558245,-0.18253968253968256
SAN,1.2344112541788745,-0.1825396825396825
ING,0.7001469198535615,-0.16666666666666674
B,0.8959370743645556,-0.16666666666666663
BBVA,1.2154245476596062,-0.15873015873015867
SLV,0.5762893338564428,-0.15476190476190477
EBR,0.9755713279002154,-0.1507936507936508
LRCX,1.1538713771749682,-0.15079365079365076
GDX,0.9358996051051327,-0.15079365079365076
GE,0.7065283554278339,-0.15079365079365076
CX,0.841068060496027,-0.1428571428571429
HOOD,2.909962578572702,-0.14285714285714285
NEM,0.9576582199799022,-0.14285714285714285
GFI,1.6995813068165906,-0.1388888888888889
SNOW,0.572540046246002,-0.13492063492063489
HL,1.3363163157408025,-0.13095238095238093
AEM,0.9247645009655925,-0.13095238095238093
GLW,0.8587299912599979,-0.13095238095238093
VIV,0.5444485495537628,-0.12698412698412703
MU,1.2940713432378677,-0.12698412698412698
RBLX,1.2685018710888034,-0.12698412698412698
PLTR,1.988521105375038,-0.12301587301587302
ITUB,0.6378098193178432,-0.11904761904761907
BCS,0.6358008698516124,-0.11904761904761907
AVGO,1.302907488115686,-0.11507936507936511
ELP,0.7001813825625918,-0.11111111111111116
NOK,0.6901956471104305,-0.1071428571428572
BBD,0.7053613257185554,-0.1031746031746032
