,VT,BNDW,ALT
VT,0.00014080006936002863,6.454651259137148e-06,0.00012179293302120727
BNDW,6.454651259137148e-06,9.764809024852367e-06,8.421507315102163e-06
ALT,0.00012179293302120727,8.421507315102163e-06,0.00012746929618713627
