Ticker;EntryDate;ExitDate;EntryPrice;ExitPrice;Contracts;USD_Position;PnL_USD;PnL_pct_on_position;PnL_pct_on_capital;Capital_before;Capital_after;ATR_on_entry;StopPrice;Reason;Signal
LMT;20/12/1962;7/1/1963;1.05565834;0.989234746;2281;2407.956675;-151.5122201;-6.292148928;-0.15151222;100000;99848.48778;0.021919769;0.992461122;stop_loss;0
GE;4/1/1963;27/2/1963;0.657721162;0.635371149;6774;4455.40315;-151.3989898;-3.398098549;-0.15139899;99848.48778;99697.08879;0.007380548;0.635710601;stop_loss;0
DIS;25/2/1963;24/4/1963;0.055907082;0.052036207;44644;2495.91576;-172.8113276;-6.923764428;-0.173073555;99697.08879;99524.27746;0.001118254;0.052624763;stop_loss;0
MRK;22/4/1963;6/5/1963;0.065476358;0.063244164;69786;4569.333115;-155.7758868;-3.409160218;-0.156249183;99524.27746;99368.50158;0.000714302;0.0634339;stop_loss;0
MMM;23/4/1963;8/5/1963;0.542268038;0.514514029;5694;3087.674207;-158.0313259;-5.11813473;-0.158511475;99368.50158;99210.47025;0.008753179;0.517289454;stop_loss;0
DIS;2/5/1963;20/5/1963;0.058893431;0.056271322;51402;3027.240139;-134.781642;-4.452294361;-0.135425894;99210.47025;99075.68861;0.000968089;0.056279553;stop_loss;0
GT;23/4/1963;18/6/1963;1.651337028;1.554053426;1861;3073.138208;-181.0447829;-5.891202107;-0.181594854;99075.68861;98894.64382;0.026784683;1.570982978;stop_loss;0
IP;29/3/1963;15/7/1963;0.753078699;0.709693074;3451;2598.874591;-149.7237915;-5.761101056;-0.1501787;98894.64382;98744.92003;0.014444395;0.710486184;stop_loss;0
LMT;22/4/1963;15/7/1963;1.068824887;1.003768563;2838;3033.32503;-184.6298475;-6.086714931;-0.185190811;98744.92003;98560.29019;0.017559398;1.017005583;stop_loss;0
MO;13/3/1963;18/7/1963;0.001881865;0.001795035;1999187;3762.199285;-173.5877733;-4.613997296;-0.174115188;98560.29019;98386.70241;2.49E-05;0.001807772;stop_loss;0
MSI;12/8/1963;18/9/1963;0.565252542;0.516618252;4423;2500.111995;-215.1094677;-8.603993267;-0.218636729;98386.70241;98171.59294;0.011121491;0.53331949;stop_loss;0
MMM;10/9/1963;25/9/1963;0.559161782;0.524751544;6285;3514.331802;-216.2683475;-6.153896664;-0.219814611;98171.59294;97955.3246;0.007826783;0.536586982;stop_loss;0
MSI;28/10/1963;4/11/1963;0.593087256;0.545198262;3799;2253.138485;-181.930289;-8.074527607;-0.18572782;97955.3246;97773.39431;0.012891365;0.555523946;stop_loss;0
MMM;23/10/1963;6/11/1963;0.593570411;0.557010651;4448;2640.201189;-162.617815;-6.159296333;-0.166012226;97773.39431;97610.77649;0.01101115;0.564408042;stop_loss;0
CVX;28/11/1962;12/11/1963;0.355780751;0.391468287;7732;2750.896763;275.9360284;10.03076641;0.275936028;97610.77649;97886.71252;0.006466605;0.335860582;exit_min100;0
XOM;16/11/1962;18/11/1963;0.10191226;0.128590271;26669;2717.898063;711.4758706;26.17743028;0.711475871;97886.71252;98598.18839;0.001874794;0.096373111;exit_min100;0
GE;23/4/1963;22/11/1963;0.685706675;0.654128492;5565;3815.957647;-175.7325894;-4.605202825;-0.17626652;98598.18839;98422.4558;0.008957117;0.659735315;stop_loss;0
IP;5/9/1963;22/11/1963;0.825642526;0.746613801;3614;2983.87209;-285.6098144;-9.571784776;-0.290293106;98422.4558;98136.84599;0.013610532;0.78595389;stop_loss;0
DIS;12/6/1963;27/12/1963;0.060478244;0.061374556;54296;3283.726735;48.66617244;1.482040875;0.049120196;98136.84599;98185.51216;0.000912355;0.057887248;exit_min100;0
RTX;2/3/1964;22/4/1964;0.099418089;0.094253644;28064;2790.069244;-144.9349689;-5.19467283;-0.147613396;98185.51216;98040.57719;0.001749269;0.094451981;stop_loss;0
DIS;10/4/1964;29/4/1964;0.077417627;0.072731763;30745;2380.204941;-144.0668841;-6.052709228;-0.146729269;98040.57719;97896.51031;0.001596743;0.072896655;stop_loss;0
JNJ;29/4/1963;29/4/1964;0.053706732;0.063474484;89439;4803.476372;873.6179837;18.18720269;0.877793847;97896.51031;98770.12829;0.000556375;0.052076184;exit_min100;0
GE;12/12/1963;12/5/1964;0.742593944;0.708827198;3641;2703.78455;-122.9447241;-4.547134647;-0.125278862;98770.12829;98647.18357;0.013475944;0.701913655;exit_min100;0
HON;1/4/1963;21/5/1964;0.856909215;1.011161447;3690;3161.995005;569.1907328;18.00100038;0.570920114;98647.18357;99216.3743;0.013505775;0.817788987;exit_min100;0
MRK;4/6/1963;27/5/1964;0.06770841;0.080725074;55023;3725.519861;716.2158753;19.22458884;0.722897701;99216.3743;99932.59018;0.000900296;0.06518609;exit_min100;0
GT;26/8/1963;8/6/1964;1.771957159;1.875944257;1624;2877.658426;168.8750467;5.868488254;0.171644178;99932.59018;100101.4652;0.03028275;1.68527025;exit_min100;0
RTX;29/6/1964;21/7/1964;0.103407592;0.098446228;32820;3393.837156;-162.8319655;-4.797872086;-0.162666915;100101.4652;99938.63326;0.001524992;0.098801277;stop_loss;0
CVX;10/7/1964;28/7/1964;0.437912345;0.417713702;9056;3965.734196;-182.9189129;-4.612485453;-0.182733502;99938.63326;99755.71434;0.005526463;0.421332995;stop_loss;0
MO;31/3/1964;30/7/1964;0.001961025;0.001906475;2366165;4640.108586;-129.0748704;-2.781720902;-0.1314602;99755.71434;99626.63947;2.07E-05;0.001907498;stop_loss;0
IBM;4/4/1963;4/8/1964;1.104520559;1.432236075;4647;5132.707039;1522.894003;29.67038624;1.527521036;99626.63947;101149.5335;0.010726586;1.072688501;exit_min100;0
MSI;29/11/1963;19/8/1964;0.606901586;0.635381401;2798;1698.110638;79.68652105;4.692657786;0.081199391;101149.5335;101229.22;0.017534808;0.554297198;exit_min100;0
CVX;12/10/1964;15/10/1964;0.443749785;0.428279459;10944;4856.397652;-169.3072472;-3.486272322;-0.16725136;101229.22;101059.9128;0.004624788;0.429875424;stop_loss;0
DIS;19/10/1964;5/11/1964;0.081898496;0.077201009;31718;2597.656482;-148.994885;-5.735742429;-0.147432232;101059.9128;100910.9179;0.001593097;0.077315269;stop_loss;0
PG;27/3/1963;16/11/1964;0.209320933;0.232219025;19478;4077.153126;446.0090528;10.93922742;0.447364169;100910.9179;101356.9269;0.002559144;0.20172694;exit_min100;0
XRX;3/4/1963;30/11/1964;0.686577559;1.937800884;4879;3349.811908;6104.718606;182.2406384;6.123266667;101356.9269;107461.6455;0.010215867;0.658537679;exit_min100;0
GT;21/9/1964;16/12/1964;2.218968391;2.1378932;1880;4171.660576;-152.42136;-3.653733501;-0.150570517;107461.6455;107309.2242;0.026911021;2.141776235;stop_loss;0
IP;15/9/1964;23/12/1964;0.893498421;0.851528645;3963;3540.934241;-166.3262229;-4.697241224;-0.164306534;107309.2242;107142.8979;0.01277083;0.857539347;stop_loss;0
LMT;6/1/1965;13/1/1965;1.073653579;1.012105942;3133;3363.756662;-192.8287467;-5.732541502;-0.179973428;107142.8979;106950.0692;0.017096517;1.021953763;stop_loss;0
XOM;5/12/1963;11/2/1965;0.141985193;0.164778873;20225;2871.650526;461.0021867;16.05356162;0.469754435;106950.0692;107411.0714;0.002426112;0.134681861;exit_min100;0
BA;30/1/1964;29/3/1965;0.165174842;0.268514931;16494;2724.393842;1704.491433;62.5640613;1.735990775;107411.0714;109115.5628;0.002976294;0.156182657;exit_min100;0
MMM;14/4/1965;30/4/1965;0.569379807;0.539644063;6587;3750.504786;-195.8693457;-5.222479557;-0.179506333;109115.5628;108919.6935;0.008281874;0.544137666;stop_loss;0
IBM;30/4/1965;21/5/1965;1.564603686;1.513458133;4109;6428.956547;-210.1570797;-3.268914297;-0.192600463;108919.6935;108709.5364;0.013275091;1.524778359;stop_loss;0
HON;28/1/1965;27/5/1965;1.11960113;1.059203982;3144;3520.025954;-189.8886337;-5.394523682;-0.177548865;108709.5364;108519.6478;0.017004341;1.069774383;stop_loss;0
BA;14/4/1965;14/6/1965;0.316681951;0.293195426;8184;2591.725089;-192.2137191;-7.416439341;-0.176156099;108519.6478;108327.434;0.006665894;0.297415079;stop_loss;0
DIS;3/2/1965;23/6/1965;0.084119707;0.080324352;41871;3522.176266;-158.9153326;-4.511850645;-0.14858834;108327.434;108168.5187;0.001277126;0.080484889;stop_loss;0
CVX;4/11/1964;28/6/1965;0.446192175;0.445186943;8865;3955.493633;-8.911384642;-0.225291341;-0.008817922;108168.5187;108159.6073;0.005699543;0.42967977;exit_min100;0
GE;19/11/1964;28/6/1965;0.801711738;0.829275072;7201;5773.126226;198.4835646;3.438060365;0.195826344;108159.6073;108358.0909;0.007037279;0.780332665;exit_min100;0
GT;3/2/1965;28/7/1965;2.304174185;2.257588625;1574;3626.770167;-73.3256712;-2.021789852;-0.068560658;108358.0909;108284.7652;0.033968823;2.202267597;exit_min100;0
IBM;13/8/1965;18/1/1966;1.589792252;1.561179996;3599;5721.662313;-102.9755095;-1.799748113;-0.09509695;108284.7652;108181.7897;0.015039579;1.54501298;exit_min100;0
XOM;19/1/1966;28/1/1966;0.176173329;0.169881418;28978;5105.150738;-182.3269971;-3.571432196;-0.168537605;108181.7897;107999.4627;0.001866588;0.17047918;stop_loss;0
DIS;14/12/1965;24/2/1966;0.098581135;0.091569252;24770;2441.854721;-173.6843409;-7.112804028;-0.160395916;107999.4627;107825.7784;0.00218575;0.09219736;stop_loss;0
GE;3/9/1965;28/2/1966;0.976550758;0.999285936;3879;3788.04039;88.18975729;2.328110268;0.081442442;107825.7784;107913.9681;0.013957139;0.93603884;exit_min100;0
CVX;12/8/1965;1/3/1966;0.503968477;0.503448725;10565;5324.426962;-5.491185188;-0.103131947;-0.00507106;107913.9681;107908.4769;0.005124287;0.487898324;exit_min100;0
CAT;9/5/1963;3/3/1966;0.497058779;1.207396984;5809;2887.414447;4126.354633;142.9082908;4.159192697;107908.4769;112034.8316;0.008538265;0.472393839;exit_min100;0
IBM;14/4/1966;5/5/1966;1.809540033;1.737674832;2304;4169.180237;-165.5774231;-3.971462342;-0.147791022;112034.8316;111869.2541;0.02430486;1.73982299;stop_loss;0
BP;24/1/1963;16/5/1966;0.047884453;0.126493514;107396;5142.598724;8442.298661;164.1640562;8.455109185;111869.2541;120311.5528;0.00046486;0.046554453;exit_min100;0
BA;26/7/1965;17/5/1966;0.34503445;0.565051138;7084;2444.224046;1558.598219;63.7665856;1.438377334;120311.5528;121870.151;0.007647607;0.322626795;exit_min100;0
