Ticker,MarketCap,ActualPrice,TargetMeanPrice,TargetMeanPricePct,FinancialCurrency,OperatingIncome_TTM,EnterpriseValue,OperatingIncome_EV_Ratio,Eight_Year_ROA,Eight_Year_ROC,FCF_Sum_to_Assets,Eight_Year_Gross_Margin_Growth,Margin_Stability,Years_Data_Available,Current_ROA,FS_ROA,Current_FCFTA,FS_FCFTA,ACCRUAL,FS_ACCRUAL,LEVER,FS_LEVER,LIQUID,FS_LIQUID,ROA_Change,FS_ROA_Change,FCFTA_Change,FS_FCFTA_Change,MARGIN,FS_MARGIN,TURN,FS_TURN,OperatingIncome_EV_Ratio_Percentile,Eight_Year_ROA_Percentile,Eight_Year_ROC_Percentile,FCF_Sum_to_Assets_Percentile,Eight_Year_Gross_Margin_Growth_Percentile,Margin_Stability_Percentile,Current_ROA_Percentile,Current_FCFTA_Percentile,ACCRUAL_Percentile,LEVER_Percentile,LIQUID_Percentile,ROA_Change_Percentile,FCFTA_Change_Percentile,MARGIN_Percentile,TURN_Percentile,Max_Margin_Metric_Percentile,Max_Margin_Source,Franchise_Power_Percentile,Financial_Strength_Score,P_FS,QUALITY,QUANTITATIVE_VALUE
AAL,7815612928.0,11.8506,13.48739,0.13811874504244503,USD,2947000000.0,36133728256.0,0.08155814919294001,-0.0004827522572539156,0.0350288995071546,0.04256834404285969,5.162792034908618,1.4900275098815812,5,0.013693087095155626,1,0.021041386789246233,1,0.007348299694090607,1,0.057041189427519845,1,-0.07374713731693927,0,0.0006574690926817138,1,0.0019002786031318622,1,-0.012236645730522494,0,0.04030794774433044,1,0.8374384236453202,0.17727272727272728,0.16836734693877553,0.1818181818181818,0.9999999999999999,0.045,0.2545454545454545,0.2545454545454545,0.5454545454545454,0.9421052631578947,0.4390243902439024,0.48636363636363633,0.5,0.205,0.740909090909091,0.9999999999999999,Growth,0.3818645640074211,7,0.7777777777777778,0.5798211708925994,2.2546980181832397
AAP,3066692608.0,51.175,47.2481,-0.07673473375671713,USD,-779306000.0,5190942720.0,-0.15012802915305526,0.014252513241960862,0.02580637508569872,0.10361379015529479,-0.057535553597733435,11.020602029601477,5,-0.031096926322933025,0,-0.008905911210935175,0,0.02219101511199785,1,-0.02017939489534981,0,0.11530965543328087,1,-0.033519067931098205,0,-0.013932089238465561,0,-0.04436730893851715,0,0.09206567225530171,1,0.029556650246305417,0.2636363636363636,0.14795918367346939,0.3045454545454545,0.1282051282051282,0.34,0.12727272727272726,0.1409090909090909,0.6954545454545454,0.23157894736842102,0.8097560975609756,0.16818181818181815,0.2545454545454545,0.075,0.9136363636363636,0.34,Stability,0.26403525046382187,3,0.3333333333333333,0.2986842918985776,0.3577975923911884
AAPL,3186179440640.0,213.325,228.60326,0.07161964139224186,USD,127364000000.0,3114071490560.0,0.04089951062012911,0.2711118541215891,3.5297175360159514,1.1309852594662722,0.03414148623548474,23.772015563222066,5,0.25682503150857583,1,0.2981177050797304,1,0.04129267357115457,1,0.035292698414932294,1,-0.12069909522521427,0,-0.018273314129188922,0,0.01567640756964056,1,0.020752202380263707,1,-0.015689895730449654,0,0.45812807881773404,0.9863636363636362,0.989795918367347,0.9954545454545455,0.8153846153846154,0.57,0.9681818181818181,0.990909090909091,0.7818181818181817,0.8578947368421052,0.37073170731707317,0.2545454545454545,0.65,0.77,0.32272727272727275,0.8153846153846154,Growth,0.946749678892536,6,0.6666666666666666,0.8067081727796013,1.7229643304150692
ABBV,335801450496.0,190.105,209.1237,0.10004313405749476,USD,12913000000.0,392769732608.0,0.03287676958776173,0.05767016947059722,,0.6372548294256479,0.0049909133757506385,18.582731096929002,4,0.03165114197142667,1,0.13193154830165507,1,0.1002804063302284,1,-0.05897889742532941,0,-0.21192514721410438,0,-0.0044483599252261655,0,-0.03184126906292539,0,0.07577480741049392,1,0.013573083699771948,1,0.3793103448275862,0.509090909090909,,0.890909090909091,0.5384615384615384,0.495,0.35,0.7772727272727272,0.8818181818181817,0.08947368421052632,0.24390243902439024,0.3681818181818182,0.1409090909090909,0.93,0.5681818181818181,0.5384615384615384,Growth,0.6461538461538461,5,0.5555555555555556,0.6008547008547008,1.359475390509873
ABNB,84842102784.0,137.46,138.7017,0.00903317328677411,USD,2490000000.0,72469938176.0,0.03435907443377146,0.10884148371782443,0.2261564667719016,0.6748890691349778,0.00972054863962235,77.15384470817125,5,0.12634190562526837,1,0.21556371964311274,1,0.08922181401784438,1,0.001253976917024835,1,0.03158248678685216,1,-0.10577240776780503,0,0.027430999856239396,1,0.0025666100149890347,1,0.0493424042056253,1,0.39408866995073893,0.7636363636363636,0.4744897959183674,0.9181818181818181,0.6256410256410255,0.895,0.8090909090909091,0.9181818181818181,0.8727272727272727,0.4684210526315789,0.6634146341463415,0.05909090909090909,0.7681818181818181,0.425,0.7818181818181817,0.895,Stability,0.7628269944341373,8,0.8888888888888888,0.825857941661513,1.614035281562991
ABT,232555708416.0,133.665,141.31693,0.05724707290614606,USD,7132000000.0,243334152192.0,0.029309490409601763,0.10699006797205168,0.3846421474743116,0.34222615275014123,-0.00919465249085405,69.40087099465754,5,0.1646154224089223,1,0.07800869629302086,1,-0.08660672611590144,0,0.030671554570236625,1,0.033088053278397034,1,0.08644731248459088,1,0.008909890053777,1,0.002241981185298614,1,-0.03256473739941801,0,0.32512315270935965,0.759090909090909,0.6683673469387754,0.6681818181818181,0.3487179487179487,0.87,0.890909090909091,0.6045454545454545,0.07727272727272727,0.8210526315789473,0.673170731707317,0.9227272727272726,0.5954545454545455,0.4,0.24545454545454543,0.87,Stability,0.7414100185528757,7,0.7777777777777778,0.7595938981653267,1.409840203584046
ACN,189293494272.0,303.9136,340.79782,0.12136416402556516,USD,10529641000.0,185687097344.0,0.05670636867403344,0.13655868610620936,1.0881347241010153,0.6226942530570361,0.0023265775187477633,125.4542497917795,4,0.1298852151124028,1,0.15401670049234287,1,0.02413148537994006,1,-0.0005648532612734326,0,-0.1991852418494544,0,-0.004206229947783691,0,-0.02153296205723118,0,0.0027267735669657123,1,-0.09080868580931267,0,0.6502463054187193,0.859090909090909,0.9132653061224489,0.8772727272727272,0.46153846153846145,0.97,0.8181818181818181,0.8363636363636364,0.7090909090909091,0.431578947368421,0.2634146341463415,0.37727272727272726,0.2,0.43,0.10454545454545455,0.97,Stability,0.9049072356215213,4,0.4444444444444444,0.6746758400329829,1.9751684508704215
ADBE,161751695360.0,381.31,493.42715,0.2940314966824893,USD,8221000000.0,164982489088.0,0.049829530669857944,0.17956692741222424,1.789326895339887,0.9623883559378101,0.0032031345265350897,148.91146743822588,5,0.18392325504465762,1,0.26043665233212043,1,0.07651339728746281,1,-0.014553868031937173,0,-0.27577319347142937,0,0.0016471544368467372,1,0.027319354907760995,1,0.011635021583922045,1,0.05961139996607723,1,0.58128078817734,0.9227272727272726,0.9591836734693878,0.9818181818181817,0.48717948717948717,0.98,0.9272727272727272,0.9590909090909091,0.8545454545454545,0.28421052631578947,0.18536585365853658,0.5045454545454545,0.7636363636363636,0.605,0.8227272727272726,0.98,Stability,0.9609322820037106,7,0.7777777777777778,0.8693550298907442,2.0319166062454244
AGRO,935936320.0,9.36,11.48,0.22649572649572658,USD,130927000.0,1989858432.0,0.06579714310047963,0.046505873091386984,0.09940670481414737,0.1707750005778699,-0.12727733184062562,5.599859489984626,5,0.02964472558884942,1,0.020868166046419646,1,-0.008776559542429774,0,0.0021868946203004724,1,0.39872462228441785,1,-0.04185561533884041,0,-0.03963370226259797,0,-0.03352402564900475,0,0.07722859978837143,1,0.7635467980295567,0.44090909090909086,0.2755102040816326,0.4,0.05128205128205128,0.185,0.34545454545454546,0.24545454545454543,0.37727272727272726,0.4842105263157894,0.9560975609756097,0.1318181818181818,0.11818181818181818,0.11,0.9,0.185,Stability,0.3253548237476809,5,0.5555555555555556,0.44045518965161823,1.9675487857107317
ADI,121675046912.0,245.19,245.49452,0.0012419756107509006,USD,2310741000.0,122959781888.0,0.01879265695270001,0.045634093728009306,0.5752472528203669,0.26635253836665157,-0.02628201359288551,20.343433734323668,5,0.03390693389274512,1,0.06473517600473266,1,0.030828242111987543,1,-0.016594971587463175,0,0.4657969604539969,1,-0.034022453526872325,0,-0.008145427411088285,0,-0.06930182451768452,0,-0.056721725271319634,0,0.2315270935960591,0.4318181818181818,0.7755102040816326,0.5681818181818181,0.23589743589743586,0.52,0.35454545454545455,0.5045454545454545,0.7363636363636364,0.25263157894736843,0.9658536585365853,0.16363636363636364,0.34545454545454546,0.045,0.17272727272727273,0.52,Stability,0.5738775510204082,4,0.4444444444444444,0.5091609977324263,0.9722151849245445
