Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,Contracts,USD_Position,PnL_USD,PnL_pct_on_position,PnL_pct_on_capital,Capital_before,Capital_after,ATR_on_entry,StopPrice,Reason,Signal
LMT,1962-12-20,1963-01-07,1.0556583404541016,0.989234745502472,4562,4815.913349151611,-303.0244401693339,-6.292148927943559,-0.3030244401693339,100000.0,99696.97555983067,0.0219198300348922,0.992460865814084,stop_loss,0
GE,1963-01-04,1963-02-27,0.6577205061912537,0.6353713870048523,13549,8911.455138385296,-302.8082158565521,-3.3979660016716333,-0.3028082158565521,99696.97555983067,99394.16734397411,0.0073805675868154,0.6357098329097711,stop_loss,0
DIS,1963-02-25,1963-04-24,0.0559071153402328,0.0520362108945846,89154,4984.342961043115,-345.10661494731966,-6.923813582745445,-0.3461555508674508,99394.16734397411,99049.0607290268,0.0011182545131148,0.0526247957777971,stop_loss,0
MRK,1963-04-22,1963-05-06,0.0654763802886009,0.0632441416382789,139148,9110.907364398237,-310.611543715004,-3.4092273282104597,-0.31250479984410795,99049.0607290268,98738.4491853118,0.000714303727817,0.0634339217853974,stop_loss,0
MMM,1963-04-23,1963-05-08,0.5422682762145996,0.514514684677124,11355,6157.456276416779,-315.1420319080353,-5.118055537236012,-0.317062902511594,98738.4491853118,98423.30715340376,0.0087531902401514,0.517289658906712,stop_loss,0
DIS,1963-05-02,1963-05-20,0.0588934756815433,0.0562712810933589,102314,6025.627070881422,-268.28721709549853,-4.452436467433983,-0.27086295934644405,98423.30715340376,98155.01993630826,0.0009680858854879,0.0562796146226587,stop_loss,0
GT,1963-04-23,1963-06-18,1.651336908340454,1.5540533065795898,3710,6126.459929943085,-360.9221625328064,-5.891202532294361,-0.3631220746422277,98155.01993630826,97794.09777377546,0.0267844687755008,1.5709835014490072,stop_loss,0
IP,1963-03-29,1963-07-15,0.7530786395072937,0.7096933126449585,6881,5181.934118449688,-298.53443413972855,-5.761061937797137,-0.3003540772232522,97794.09777377546,97495.56333963573,0.014444477396679,0.7104859829448531,stop_loss,0
LMT,1963-04-22,1963-07-15,1.068825125694275,1.003768801689148,5660,6049.550211429596,-368.21879386901855,-6.086713573735313,-0.370463180796838,97495.56333963573,97127.34454576671,0.0175592865946258,1.0170060910804457,stop_loss,0
MO,1963-03-13,1963-07-18,0.0018818650860339,0.0017950353212654,3986201,7501.492487813418,-346.1208951499591,-4.614027084773481,-0.3482305897811247,97127.34454576671,96781.22365061675,2.4934559555592e-05,0.0018077721299528,stop_loss,0
MSI,1963-08-12,1963-09-18,0.5652527213096619,0.5166181921958923,8702,4918.829180836678,-423.21767234802246,-8.604032723820557,-0.4372931611981385,96781.22365061675,96358.00597826873,0.0111215099733941,0.5333197243184067,stop_loss,0
MMM,1963-09-10,1963-09-25,0.5591607093811035,0.5247515439987183,12365,6914.022171497345,-425.46932995319366,-6.153716597947375,-0.4396197050464574,96358.00597826873,95932.53664831554,0.0078268091137947,0.5365858270330545,stop_loss,0
MSI,1963-10-28,1963-11-04,0.5930867195129395,0.5451983213424683,7441,4413.1582798957825,-356.33757078647614,-8.074434411513813,-0.37144600073778306,95932.53664831554,95576.19907752906,0.0128913443404824,0.5555233703984629,stop_loss,0
MMM,1963-10-23,1963-11-06,0.5935711860656738,0.5570108890533447,8712,5171.19217300415,-318.51330757141113,-6.159378667731355,-0.33201801880739057,95576.19907752906,95257.68576995765,0.0110111544543381,0.5644088675717501,stop_loss,0
CVX,1962-11-28,1963-11-12,0.3557809889316559,0.3914687037467956,15463,5501.441431850195,551.8391341865054,10.030809943584472,0.5518391341865053,95257.68576995765,95809.52490414416,0.0064666903238451,0.3358606358520217,exit_min100,0
