Date,VXX_Price,EMA8,EMA32,Signal,VXX_Close,Capital,Position,Portfolio_Value
2018-01-25,1770.239990234375,1770.239990234375,1770.239990234375,0,25150.0,10000.0,0.0,10000.0
2018-01-26,1770.239990234375,1770.239990234375,1770.239990234375,0,24800.0,10000.0,0.0,10000.0
2018-01-29,1893.1199951171875,1812.849094713804,1812.02189516453,1,28325.0,9000.0,0.0353045013239188,10000.0
2018-01-30,1955.199951171875,1850.5999612872135,1848.897331191533,1,30075.0,9000.0,0.0353045013239188,10061.782877316859
2018-01-31,1961.5999755859373,1874.610748936229,1872.3484056686195,1,28875.0,9000.0,0.0353045013239188,10019.417475728154
2018-02-01,1862.8480224609373,1872.449131356417,1870.6847938506824,1,27000.0,9000.0,0.0353045013239188,9953.221535745808
2018-02-02,2102.39990234375,1909.3698317429012,1905.805840397214,1,34400.0,9000.0,0.0353045013239188,10214.474845542807
2018-02-05,2807.0400390625,2037.902409239172,2026.5019752685648,1,57175.0,9000.0,0.0353045013239188,11018.534863195056
2018-02-06,2759.424072265625,2131.483676759023,2114.603025002787,1,38050.0,9000.0,0.0353045013239188,10343.33627537511
2018-02-07,2850.56005859375,2217.009093872959,2194.997068786673,1,46625.0,9000.0,0.0353045013239188,10646.072374227713
2018-02-08,3531.52001953125,2361.810356897704,2329.009886226775,1,69775.0,9000.0,0.0353045013239188,11463.371579876435
2018-02-09,3217.919921875,2449.8690494028465,2411.502660839797,1,58350.0,9000.0,0.0353045013239188,11060.017652250663
2018-02-12,3107.199951171875,2513.435924426312,2471.6724676995136,1,53275.0,9000.0,0.0353045013239188,10880.847308031774
2018-02-13,3070.080078125,2564.339544732048,2520.1922241080897,1,53400.0,9000.0,0.0353045013239188,10885.260370697264
2018-02-14,2718.719970703125,2577.7564358811883,2535.359687452388,1,41250.0,9000.0,0.0353045013239188,10456.31067961165
2018-02-15,2656.0,2584.246881814888,2544.082861126147,1,39375.0,9000.0,0.0353045013239188,10390.114739629302
