Strategy,Total Return,Annualized Return (Geometric),Annualized Std Dev of Returns,Sharpe Ratio,Max Drawdown (Monthly),Avg Drawdown (Monthly),Drawdown Std Dev (Monthly),Skewness,Kurtosis
SPY Buy-and-Hold,4.421842065219119,0.09137276937844652,0.19639667356246118,0.5435439685288188,-0.5219527757973197,-0.08229480908620698,0.11324387682442082,-0.001350359042720002,14.655216988187844
VXX/VIX Strategy,5.362554194479935,0.10044197147840195,0.18870822463466486,0.6014861261253903,-0.4740145267912853,-0.06461518074769172,0.09532259026002113,0.2665954880123975,13.34777753927485
