Date;VIX_open;VIX_close;VIX3M;SPY;VXX_open;VXX_close;SH_open;SH_close;asset_open;asset_close;SPY_returns;realized_vol;eVRP;VIX_minus_VIX3M;raw_signal;buy_signal;VXX_returns;SH_returns;strategy_returns;position;entry_price;exit_price;SH_strategy_returns;SH_position;SH_entry_price;SH_exit_price;ultra_strategy_returns;ultra_position;ultra_entry_price_VXX;ultra_entry_price_SH;pure_vxx_strategy_returns;pure_vxx_position;pure_vxx_entry_price;pure_vxx_exit_price;allocation_VXX;allocation_SPY;ultra_allocation_VXX;ultra_allocation_SH;ultra_allocation_SPY;cum_strategy;SPY_cum;ultra_cum_strategy;pure_vxx_cum_strategy;cum_buy_hold;SH_cum_strategy;portfolio_value;SH_portfolio_value;SPY_portfolio_value;ultra_portfolio_value;pure_vxx_portfolio_value
25/1/2018;11.27000046;11.57999992;13.68000031;283.2999878;1770.23999;1770.23999;113.5199966;113.8399963;1770.23999;1770.23999;0;;;-2.100000381;False;;0;0;0;0;;;0;0;;;0;0;;;0;0;;;0;1;0;0;1;1;1;1;1;1;1;10000;10000;10000;10000;10000
26/1/2018;11.39999962;11.07999992;13.46000004;286.5799866;1770.23999;1770.23999;113.4800034;112.5599976;1770.23999;1770.23999;0.011577829;;;-2.380000114;False;False;0;-0.011243841;0.011577829;0;;;0;0;;;0.011577829;0;;;0;0;;;0;1;0;0;1;1.011577829;1.011577829;1.011577829;1;1;1;10115.77829;10000;10115.77829;10115.77829;10000
29/1/2018;11.71000004;13.84000015;14.98999977;284.6799927;1868.800049;1893.119995;112.8000031;113.2799988;1868.800049;1893.119995;-0.00662989;;;-1.149999619;False;False;0.06941432;0.006396599;-0.00662989;0;;;0;0;;;-0.00662989;0;;;0;0;;;0;1;0;0;1;1.004871179;1.004871179;1.004871179;1;1.06941432;1;10048.71179;10000;10048.71179;10048.71179;10000
30/1/2018;13.93000031;14.78999996;15.82999992;281.7600098;1970.560059;1955.199951;114.1600037;114.5999985;1970.560059;1955.199951;-0.010257071;;;-1.039999962;False;False;0.032792404;0.01165254;-0.010257071;0;;;0;0;;;-0.010257071;0;;;0;0;;;0;1;0;0;1;0.994564144;0.994564144;0.994564144;1;1.104482986;1;9945.641437;10000;9945.641437;9945.641437;10000
31/1/2018;14.22999954;13.53999996;14.89999962;281.8999939;1917.439941;1961.599976;114.1200027;114.4400024;1917.439941;1961.599976;0.00049682;;;-1.359999657;False;False;0.003273335;-0.001396126;0.00049682;0;;;0;0;;;0.00049682;0;;;0;0;;;0;1;0;0;1;0.995058263;0.995058263;0.995058263;1;1.108098329;1;9950.582635;10000;9950.582635;9950.582635;10000
1/2/2018;13.05000019;13.47000027;14.72000027;281.5799866;1929.599976;1862.848022;114.8000031;114.5599976;1929.599976;1862.848022;-0.00113518;;;-1.25;False;False;-0.050342554;0.001048542;-0.00113518;0;;;0;0;;;-0.00113518;0;;;0;0;;;0;1;0;0;1;0.993928693;0.993928693;0.993928693;1;1.052313829;1;9939.286929;10000;9939.286929;9939.286929;10000
2/2/2018;13.64000034;17.30999947;17.03000069;275.4500122;1922.560059;2102.399902;115.1999969;117.0800018;1922.560059;2102.399902;-0.021769922;;;0.279998779;False;False;0.12859443;0.021997244;-0.021769922;0;;;0;0;;;-0.021769922;0;;;0;0;;;0;1;0;0;1;0.972290943;0.972290943;0.972290943;1;1.187635526;1;9722.909427;10000;9722.909427;9722.909427;10000
5/2/2018;18.44000053;37.31999969;28.12999916;263.9299927;2172.159912;2807.040039;117.9599991;121.8799973;2172.159912;2807.040039;-0.041822541;;;9.190000534;False;False;0.335159898;0.040997569;-0.041822541;0;;;0;0;;;-0.041822541;0;;;0;0;;;0;1;0;0;1;0.931627265;0.931627265;0.931627265;1;1.585683328;1;9316.272646;10000;9316.272646;9316.272646;10000
6/2/2018;37.31999969;29.97999954;23.75;269.1300049;2944;2759.424072;123.9599991;119.5999985;2944;2759.424072;0.019702241;;;6.229999542;False;False;-0.016963052;-0.018706915;0.019702241;0;;;0;0;;;0.019702241;0;;;0;0;;;0;1;0;0;1;0.949982409;0.949982409;0.949982409;1;1.558785299;1;9499.82409;10000;9499.82409;9499.82409;10000
7/2/2018;31.37999916;27.72999954;23.03000069;267.6700134;2799.360107;2850.560059;119.9599991;120.3199997;2799.360107;2850.560059;-0.005424856;;;4.699998856;False;False;0.033027177;0.006020077;-0.005424856;0;;;0;0;;;-0.005424856;0;;;0;0;;;0;1;0;0;1;0.944828891;0.944828891;0.944828891;1;1.610267576;1;9448.288915;10000;9448.288915;9448.288915;10000
8/2/2018;27.29000092;33.45999908;27.32999992;257.6300049;2907.52002;3531.52002;120.1200027;124.6399994;2907.52002;3531.52002;-0.037508903;31.17799648;2.282002609;6.129999161;False;False;0.238886376;0.035904253;-0.037508903;0;;;0;0;;;-0.037508903;0;;;0;0;;;0;1;0;0;1;0.909389396;0.909389396;0.909389396;1;1.994938561;1;9093.893963;10000;9093.893963;9093.893963;10000
9/2/2018;32.18000031;29.05999947;24.92000008;261.5;3182.080078;3217.919922;123.1999969;122.8799973;3182.080078;3217.919922;0.015021523;31.86336631;-2.803366844;4.13999939;True;False;-0.088800317;-0.014120685;0.015021523;0;;;0;0;;;0.015021523;0;;;0;0;;;0;1;0;0;1;0.92304981;0.92304981;0.92304981;1;1.817787385;1;9230.498103;10000;9230.498103;9230.498103;10000
12/2/2018;27.25;25.61000061;22.86000061;265.3399963;3089.919922;3107.199951;121.7600021;121.1600037;3089.919922;3107.199951;0.014684498;34.01831728;-8.408316669;2.75;True;True;-0.034407311;-0.013997344;-0.003253382;1;3089.919922;;0;1;121.7600021;;-0.010986279;1;3089.919922;121.7600021;-0.034407311;1;3089.919922;;0.5;0.95;0.5;0.5;0.9;0.920046777;0.936604334;0.912908928;0.965592689;1.755242209;1;9200.467768;10000;9366.043338;9129.089278;9655.926893
13/2/2018;26.94000053;24.96999931;22.64999962;266;3123.840088;3070.080078;121.8000031;120.8399963;3123.840088;3070.080078;0.002487389;34.25657398;-9.28657467;2.319999695;True;True;-0.011946406;-0.002641196;-0.003610184;1;;;0;1;;;-0.005055152;1;;;-0.011946406;1;;;0.5;0.95;0.5;0.5;0.9;0.916725239;0.938934033;0.908294035;0.954057327;1.734273373;1;9167.252386;10000;9389.340327;9082.940348;9540.573267
14/2/2018;23.47999954;19.26000023;19.34000015;269.5899963;3028.47998;2718.719971;121.5599976;119.1600037;3028.47998;2718.719971;0.013496227;35.49574065;-16.23574042;-0.079999924;False;True;-0.114446561;-0.013902621;-0.044401865;1;;;0;1;;;-0.052027987;1;;;-0.114446561;1;;;0.5;0.95;0.5;0.5;0.9;0.876020928;0.951606099;0.861037325;0.844868746;1.535791749;1;8760.209283;10000;9516.060994;8610.373247;8448.687465
15/2/2018;18.38999939;19.12999916;19.07999992;273.0299988;2625.919922;2656;118.3600006;117.7600021;2625.919922;2656;0.012760126;36.50564175;-17.37564259;0.049999237;True;False;-0.023069669;-0.011748921;0.012760126;0;;2625.919922;-0.027923797;0;;118.3600006;0.012760126;0;;;0;0;;2625.919922;0;1;0;0;1;0.887199066;0.963748714;0.87202427;0.844868746;1.500361541;0.972076203;8871.990661;9720.762035;9637.487135;8720.242698;8448.687465
16/2/2018;18.73999977;19.45999908;19.17000008;273.1099854;2700.800049;2695.679932;118;117.6399994;2700.800049;2695.679932;0.000292959;34.94871986;-15.48872078;0.289999008;True;True;0.014939733;-0.001019045;0.007748178;1;2700.800049;;0;1;118;;0.007224007;1;2700.800049;118;0.014939733;1;2700.800049;;0.5;0.95;0.5;0.5;0.9;0.894073242;0.964031052;0.878323779;0.85749086;1.522776542;0.972076203;8940.73242;9720.762035;9640.310523;8783.237794;8574.908602
20/2/2018;20.53000069;20.60000038;20.01000023;271.3999939;2764.800049;2805.76001;118.1600037;118.4000015;2764.800049;2805.76001;-0.006261182;26.82898136;-6.228980975;0.590000153;True;True;0.040835738;0.006460406;0.014469745;1;;;0;1;;;0.018013007;1;;;0.040835738;1;;;0.5;0.95;0.5;0.5;0.9;0.907010254;0.957995078;0.894145032;0.892507132;1.584960246;0.972076203;9070.102542;9720.762035;9579.95078;8941.450321;8925.071319
21/2/2018;20.76000023;20.02000046;20.03000069;270.0499878;2778.23999;2848;118.1999969;119.0400009;2778.23999;2848;-0.00497423;25.3259245;-5.305924046;-0.010000229;False;True;0.015054741;0.0054054;0.002801852;1;;;0;1;;;0.005753263;1;;;0.015054741;1;;;0.5;0.95;0.5;0.5;0.9;0.909551562;0.95322979;0.899289284;0.905943596;1.608821412;0.972076203;9095.515623;9720.762035;9532.297897;8992.892838;9059.435956
