Price,VXX_open,VXX_close
Ticker,VXX,VXX
Date,,
2018-01-25,1770.239990234375,1770.239990234375
2018-01-26,1770.239990234375,1770.239990234375
2018-01-29,1868.800048828125,1893.1199951171875
2018-01-30,1970.56005859375,1955.199951171875
2018-01-31,1917.43994140625,1961.5999755859375
2018-02-01,1929.5999755859375,1862.8480224609375
2018-02-02,1922.56005859375,2102.39990234375
2018-02-05,2172.159912109375,2807.0400390625
2018-02-06,2944.0,2759.424072265625
2018-02-07,2799.360107421875,2850.56005859375
2018-02-08,2907.52001953125,3531.52001953125
2018-02-09,3182.080078125,3217.919921875
2018-02-12,3089.919921875,3107.199951171875
2018-02-13,3123.840087890625,3070.080078125
2018-02-14,3028.47998046875,2718.719970703125
2018-02-15,2625.919921875,2656.0
2018-02-16,2700.800048828125,2695.679931640625
2018-02-20,2764.800048828125,2805.760009765625
2018-02-21,2778.239990234375,2848.0
2018-02-22,2767.360107421875,2810.8798828125
2018-02-23,2721.280029296875,2591.360107421875
2018-02-26,2516.47998046875,2513.919921875
2018-02-27,2506.944091796875,2714.239990234375
2018-02-28,2644.47998046875,2826.239990234375
2018-03-01,2804.47998046875,3020.800048828125
2018-03-02,3179.52001953125,2887.679931640625
2018-03-05,2942.080078125,2781.43994140625
2018-03-06,2759.679931640625,2796.159912109375
2018-03-07,2848.0,2754.56005859375
2018-03-08,2725.1201171875,2725.760009765625
2018-03-09,2580.47998046875,2448.0
2018-03-12,2490.8798828125,2544.639892578125
2018-03-13,2565.1201171875,2605.43994140625
2018-03-14,2591.360107421875,2662.39990234375
2018-03-15,2576.639892578125,2588.159912109375
2018-03-16,2515.199951171875,2515.199951171875
2018-03-19,2580.47998046875,2775.679931640625
2018-03-20,2757.1201171875,2722.56005859375
2018-03-21,2685.43994140625,2623.360107421875
2018-03-22,2890.239990234375,3020.800048828125
2018-03-23,3010.56005859375,3200.0
2018-03-26,3016.9599609375,2963.199951171875
2018-03-27,2963.199951171875,3185.919921875
2018-03-28,3278.719970703125,3206.080078125
2018-03-29,3136.0,3136.0
2018-04-02,3114.239990234375,3317.760009765625
2018-04-03,3235.840087890625,3175.679931640625
2018-04-04,3367.679931640625,3115.52001953125
2018-04-05,3031.679931640625,3031.679931640625
