Date,High,Low,Close
2006-02-01,11.754457125763777,10.90794269712485,11.304595947265625
2006-02-02,11.63352407858781,10.811196500730276,11.26589584350586
2006-02-03,11.560966271034513,11.02887139608578,11.488408088684082
2006-02-06,11.60933889636673,11.309430568921215,11.546455383300781
2006-02-07,11.536782893876953,10.883757272973062,10.995013236999512
2006-02-08,10.932128951442253,10.40970867559204,10.733802795410156
2006-02-09,11.173987078192484,10.641892279682898,10.690264701843262
2006-02-10,10.92729135805135,10.593522574433399,10.859570503234863
2006-02-13,10.869244245784756,10.516127042120134,10.540313720703125
2006-02-14,10.641895171101655,10.424219673550864,10.491941452026367
2006-02-15,10.651568792620457,10.424218645896467,10.5693359375
2006-02-16,10.922452487915871,10.641893513997395,10.88375473022461
2006-02-17,11.125617547807085,11.009524258023523,11.086919784545898
2006-02-21,11.169150942663817,11.053057670593262,11.053057670593262
2006-02-22,11.236872836225862,11.028872025032845,11.18850040435791
2006-02-23,11.367475303383065,11.183661215071549,11.309428215026855
2006-02-24,11.430360794067383,11.294919102026379,11.430360794067383
2006-02-27,11.488405891716926,11.169149212325703,11.309428215026855
2006-02-28,11.609338055242974,11.164313392886902,11.39166259765625
2006-03-01,11.69640969223271,11.31910582638967,11.536781311035156
2006-03-02,11.735107983033831,11.415851206236846,11.49808406829834
2006-03-03,11.851202521554631,11.411015073135664,11.585155487060547
2006-03-06,12.204319236403554,11.570642979092696,11.6383638381958
2006-03-07,11.730268717987501,11.038545507821892,11.10142993927002
2006-03-08,11.29491983250046,11.077244352460692,11.144966125488281
2006-03-09,11.536778952012467,11.222359589415623,11.299755096435547
2006-03-10,11.7592927644709,11.352965823562498,11.710920333862305
2006-03-13,12.218828375315946,11.710919283424815,12.078548431396484
2006-03-14,12.141432835809596,11.875384953221019,12.064037322998047
2006-03-15,12.383296780686639,12.068877325075233,12.325249671936035
2006-03-16,13.012129783630371,12.383291157937613,13.012129783630371
2006-03-17,13.350739737170416,12.867017289610818,13.02664566040039
2006-03-20,13.10887687765449,12.842829011117967,12.915388107299805
2006-03-21,13.036322902370147,12.552600359389844,12.605809211730957
2006-03-22,12.736412230684293,12.228504020890997,12.383295059204102
