,StdDev
MBG,0.05707519219894981
XLP,0.10705350999725538
IVE,0.10997463975106353
VIG,0.11619895450785156
XLV,0.12356474300295542
DIA,0.12917221773503554
ACWI,0.13427163678482465
IEUR,0.13847746217880272
VEA,0.13996668757496103
EFA,0.14147302097231906
IVV,0.1441246157189032
XLB,0.14430993753412005
SH,0.14445189653014115
SPY,0.14451624908428826
MMC,0.14716916263525245
ESGU,0.14849987864799613
GLD,0.1501760702082014
XLC,0.15042091387475756
KO,0.1523802144440498
ADP,0.1525952727107472
XLI,0.15426417806016082
SPGI,0.16357966154256606
XLU,0.16365488346512214
JNJ,0.16579643328378837
XLRE,0.16601104815706902
PEP,0.1660946299804887
NVS,0.16681540833532216
IEMG,0.16941858306600416
IJH,0.16944782774408262
KMB,0.16963461026982798
XLF,0.16997145187582766
UL,0.17280513995867028
PSO,0.17593276693227228
EEM,0.17598725774038557
MCD,0.1773764287569592
TJX,0.17878116488852266
MA,0.17988963261182808
PG,0.1802694661591704
ORLY,0.1812322352489454
IBB,0.18246038964380976
MDT,0.18364053962347793
E,0.18418303074554113
MSI,0.18425862130281573
COST,0.18518261967053648
WMT,0.18628606868951314
ILF,0.1874295564667486
CL,0.1900356381893817
MDLZ,0.190547523257216
NGG,0.1918895262685543
V,0.1923458574326676
ITA,0.19300348231330167
ABT,0.19319939888437002
TTE,0.19362555426975256
XLE,0.19583290375559748
SHEL,0.19591560143112904
MO,0.1969853107638999
VZ,0.19881677812534365
CSCO,0.1995534486791723
ECL,0.19968205711677608
IVW,0.19977590376913154
SYY,0.20205072569443358
XOM,0.20385223007484898
HD,0.20417617367849905
QQQ,0.20504403680131392
CIBR,0.20516712629259762
PSQ,0.2051939715436133
EWJ,0.20565128592780665
HSBC,0.20596280067170364
BK,0.20673794654229963
IBN,0.2068982311836551
HON,0.20729095024986152
DD,0.21028999105129492
CVX,0.2106163737037167
AVY,0.2129827974130395
XLY,0.21413363979432132
VRSN,0.2156043170287876
IWM,0.2161542733669212
GILD,0.21735395539821878
RTX,0.217449880419149
UNP,0.2180253509860147
AAPL,0.2183853543059709
HDB,0.22079783240991824
T,0.221225171975943
LND,0.22186975533100145
ING,0.22262985633056395
AIG,0.2232841169054629
SAP,0.22397299049147223
CAH,0.22422837712616753
PFE,0.2249844163754967
ROST,0.22528074913691434
INFY,0.2267067510852002
TMO,0.22735187456614442
SNA,0.22905686886806945
MRK,0.23093602778472944
MSFT,0.23167062052264395
TMUS,0.23257162701954895
SUZ,0.23260660735547004
ACN,0.2333655107079895
BP,0.23376381390939152
LMT,0.2341546585335987
DOW,0.23712421251461624
GSK,0.2371504517460036
PM,0.23784148018735846
IFF,0.23870877188032907
BIIB,0.2389781364073645
DHR,0.2395560572826413
FMX,0.23996034420731654
AMGN,0.24042740676548027
AMX,0.24065324626552806
EWZ,0.24175129161086736
OXY,0.2440991721092868
VOD,0.24529263465906562
RIO,0.24537192207619768
SIEGY,0.24865102010038886
PCAR,0.2500885529253755
RACE,0.2508373419328328
AEG,0.2511942622046298
EFX,0.25511740826072377
XLK,0.25685074704772176
SCHW,0.2569544988309437
JCI,0.2597023636823185
DEO,0.25974639261919663
JPM,0.26544002789069915
BHP,0.2664595716291675
DE,0.26720649344393976
YELP,0.26897788025157343
AXP,0.26992436433400036
HSY,0.2700939494229031
NKE,0.27026820729094453
ASR,0.27062899460911727
ISRG,0.27126306962923435
PSX,0.27364063356508084
PBR,0.27365608601040303
USB,0.2742081768482317
IBM,0.2760435404793766
SAN,0.2762174608008105
BKNG,0.27928436259619677
ABBV,0.2795776607584806
GOOGL,0.28269510276960697
META,0.2828701360702307
IP,0.2855242590934144
EBAY,0.28595931775126787
ITUB,0.2875593577955515
TM,0.2876781865468187
ABEV,0.2899893982138577
CAT,0.29187328824119435
SLV,0.2929103565953115
GLW,0.2929808652878974
VIV,0.29356957378511944
FDX,0.2937316828497105
UNH,0.2937593760058081
EA,0.2962830966174312
SLB,0.29841607272261467
SONY,0.29856197217125957
EQNR,0.29874863501617305
HAL,0.3000164569079421
VALE,0.3013108809652814
BX,0.30173741021121964
VRTX,0.3020996347506982
C,0.30264788392075637
SBS,0.3028121720996378
GDX,0.30343104678647725
TIMB,0.3038471859251269
AMZN,0.30498790289640026
NFLX,0.305800544574131
BSBR,0.3060550570262708
LYG,0.30651934529410724
AEM,0.30657046885513156
HPQ,0.3068416447985644
USO,0.3097036672205628
GS,0.31113875434644966
BKR,0.31197084043239137
CRM,0.3132225906402478
GE,0.3197568943474872
BMY,0.320668170100601
B,0.3213025696899475
SPOT,0.32622660403802783
TXN,0.32638894476827096
ELP,0.32786012334443615
ADI,0.33157585776071935
SWKS,0.3316976363267302
MUFG,0.3322329987887895
BCS,0.3326392597451609
WFC,0.33300583649473886
PANW,0.3340669752792839
HOG,0.334537274746805
PYPL,0.33457522256202316
BA,0.3349850582488917
ADBE,0.3369277725302933
HMC,0.33777086914591564
PAC,0.3392067999599898
COPX,0.3424520891442262
FCX,0.3428132506770487
LLY,0.3455330400769332
ERIC,0.3455334956672956
NEM,0.3476914102314321
LVS,0.34987897742612983
PHG,0.3533644710736085
NMR,0.3544549746394954
AZN,0.35485284792748745
BBD,0.3554554059288743
DAL,0.35654786456842363
KEP,0.35731757714499224
SCCO,0.35930072918889194
MOS,0.3610472162764756
GLOB,0.36361996451117873
GGB,0.36413379201535623
HWM,0.36466237879721614
ABNB,0.3672365497860061
MFG,0.36876456768181154
NOW,0.3713890610301613
ARCO,0.3760916227418799
MMM,0.37990039385509006
STLA,0.3799998632183803
FXI,0.3805747372861905
CX,0.3819108641868744
TEN,0.3831369977309184
GM,0.3835473269591008
KB,0.38480761083428167
SE,0.38621480867682223
GRMN,0.3868422165543041
NUE,0.38892411235854624
CAAP,0.3919771055536127
QCOM,0.3927929022214503
CVS,0.39279511726368505
ARKK,0.3947189305101093
F,0.3953080960909187
SMH,0.39543147157080266
ETSY,0.4004216414026569
TIIAY,0.40150258095133484
ORCL,0.4025283964331766
BABA,0.4078313935395748
XP,0.4081846668077984
UBER,0.40932696531172397
URA,0.41047113836263704
CCL,0.4137232487398656
JOYY,0.4139140419676062
UGP,0.4153107095787518
MELI,0.4183839018243064
TGT,0.42107636151743905
SBUX,0.42221620015136474
GFI,0.42275245585294624
BIDU,0.4254652602472468
SPXL,0.42957301472418385
PATH,0.43247009561734473
PINS,0.4330411664379328
KGC,0.4373207253774757
NU,0.44742614681708437
UAL,0.44868550347441627
RBLX,0.44925113482476386
AAL,0.4494917336098468
AMD,0.4514891231891946
NTES,0.4530528777509007
VIST,0.4557184311834879
XYZ,0.4597301106080151
AMAT,0.46550735445913394
PBI,0.4655117731766837
DECK,0.4665527199851305
PAAS,0.4665856080772005
TSM,0.4685930843019088
PAGS,0.47273931457449686
URBN,0.47305377644854846
STNE,0.4755396430847173
ASML,0.4804737143803805
BIOX,0.48316297753028653
TWLO,0.48959434842826793
LRCX,0.49061082756615587
SID,0.4941550794406924
TRIP,0.4966213292547469
AAP,0.4997055610191523
GPRK,0.5004403156995527
MUX,0.506667891672462
HL,0.5107235537966868
NG,0.5112828854394402
TCOM,0.5115218918682458
BAK,0.514486699284228
FSLR,0.5169773059457581
GT,0.5184371442774783
DOCU,0.5197172605405964
HMY,0.5204486477130896
TV,0.52782148413336
TEAM,0.5454639869817177
CAR,0.5465684279461245
SHOP,0.5605840098387408
IBIT,0.5646580473240975
NXE,0.5728462685613724
JD,0.5766658982318171
NVDA,0.5837406761407742
ROKU,0.5934850357288292
ANF,0.5993062574105503
BB,0.6044621213906921
MU,0.608824651985715
TQQQ,0.6116576118298941
INTC,0.6130520769225503
SNOW,0.6164371820117119
SNAP,0.6252606512446585
AI,0.6399716449446138
PLTR,0.6429213677680254
SDA,0.659220570036934
AVGO,0.6607016837381131
PDD,0.6644461808254462
HOOD,0.6722744193800492
MRVL,0.6769022929569681
CDE,0.6790713883847784
ARM,0.6860929176939237
LAR,0.6931038386706259
TSLA,0.698320102582457
NIO,0.7035684409904092
MRNA,0.7052359141193082
ETHA,0.718343372222791
CLS,0.7428737220616147
XPEV,0.754127443788878
CEG,0.7640698925886831
VST,0.7941332114543561
SPCE,0.7962332836996754
LAC,0.8088412370830125
COIN,0.8973113429228435
BITF,0.934539487747022
RIOT,0.9463073231271188
RKLB,0.9978271148303643
ALAB,1.0084269263455576
MSTR,1.0276101889695004
VXX,1.0301656293992503
JMIA,1.0456259787505338
HUT,1.0996081088457081
UPST,1.1267000008214343
IREN,1.1709371524293757
SATL,1.21625112492744
TEM,1.2811112823083735
FMCC,1.287762447254538
ASTS,1.2913042773870878
FNMA,1.3288148399025232
OKLO,1.5024222510896257
RGTI,2.241637387734271
