Date,SPY Drawdown,VXX/VIX Drawdown,Ultra Drawdown,Pure VXX Drawdown
2006-07-17,0.0,0.0,0.0,0.0
2006-07-18,0.0,0.0,0.0,0.0
2006-07-19,0.0,0.0,0.0,0.0
2006-07-20,-0.006842235608615521,-0.006842235608615521,-0.006842235608615521,0.0
2006-07-21,-0.013843626854691427,-0.013843626854691427,-0.013843626854691427,0.0
2006-07-24,0.0,0.0,0.0,0.0
2006-07-25,0.0,0.0,0.0,0.0
2006-07-26,0.0,0.0,0.0,0.0
2006-07-27,-0.0009461700295634312,-0.0009461700295634312,-0.0009461700295634312,0.0
2006-07-28,0.0,0.0,0.0,0.0
2006-07-31,-0.001015821842494491,-0.001015821842494491,-0.001015821842494491,0.0
2006-08-01,-0.005938444415498512,-0.005938444415498512,-0.005938444415498512,0.0
2006-08-02,0.0,0.0,0.0,0.0
2006-08-03,0.0,0.0,0.0,0.0
2006-08-04,-0.0017131383261171917,-0.0017131383261171917,-0.0017131383261171917,0.0
2006-08-07,-0.004049187435607227,-0.004049187435607227,-0.004049187435607227,0.0
2006-08-08,-0.007864775901236243,-0.007864775901236243,-0.007864775901236243,0.0
2006-08-09,-0.01121316642690895,-0.01121316642690895,-0.01121316642690895,0.0
2006-08-10,-0.008176260997776685,-0.008176260997776685,-0.008176260997776685,0.0
2006-08-11,-0.010979567456930739,-0.010979567456930739,-0.010979567456930739,0.0
2006-08-14,-0.010200884420434209,-0.010200884420434209,-0.010200884420434209,0.0
2006-08-15,0.0,0.0,0.0,0.0
2006-08-16,0.0,0.0,0.0,0.0
2006-08-17,0.0,0.0,0.0,0.0
2006-08-18,0.0,0.0,0.0,0.0
2006-08-21,-0.004284930355287431,-0.004284930355287431,-0.004284930355287431,0.0
2006-08-22,-0.004361522025943199,-0.004361522025943199,-0.004361522025943199,0.0
2006-08-23,-0.007116136790855765,-0.007116136790855765,-0.007116136790855765,0.0
2006-08-24,-0.007957827878901313,-0.007957827878901313,-0.007957827878901313,0.0
2006-08-25,-0.0067335287043632785,-0.0067335287043632785,-0.0067335287043632785,0.0
2006-08-28,-0.0019895153475231186,-0.0019895153475231186,-0.0019895153475231186,0.0
2006-08-29,-0.0008416910880454376,-0.0008416910880454376,-0.0008416910880454376,0.0
2006-08-30,-0.00022954150077658664,-0.00022954150077658664,-0.00022954150077658664,0.0
2006-08-31,-0.00038260808649259737,-0.00038260808649259737,-0.00038260808649259737,0.0
2006-09-01,0.0,0.0,0.0,0.0
2006-09-05,0.0,0.0,0.0,0.0
2006-09-06,-0.008809931482044786,-0.008809931482044786,-0.008809931482044786,0.0
2006-09-07,-0.013366708675561001,-0.013366708675561001,-0.013366708675561001,0.0
2006-09-08,-0.01055669027856243,-0.01055669027856243,-0.01055669027856243,0.0
2006-09-11,-0.009569336404328221,-0.009569336404328221,-0.009569336404328221,0.0
2006-09-12,0.0,0.0,0.0,0.0
2006-09-13,0.0,0.0,0.0,0.0
2006-09-14,0.0,0.0,0.0,0.0
2006-09-15,-0.002041813676135984,-0.002041813676135984,-0.002041813676135984,0.0
2006-09-18,-0.0006806045587119947,-0.0006806045587119947,-0.0006806045587119947,0.0
2006-09-19,-0.0031762700031445767,-0.0031762700031445767,-0.0031762700031445767,0.0
2006-09-20,0.0,0.0,0.0,0.0
2006-09-21,-0.004829819758353393,-0.004829819758353393,-0.004829819758353393,0.0
2006-09-22,-0.007848413925329534,-0.007848413925329534,-0.007848413925329534,0.0
2006-09-25,-0.0002263888049238716,-0.0002263888049238716,-0.0002263888049238716,0.0
2006-09-26,0.0,0.0,0.0,0.0
2006-09-27,0.0,0.0,0.0,0.0
2006-09-28,-0.0003738825310604099,-0.0003738825310604099,-0.0003738825310604099,0.0
2006-09-29,-0.0011963784622213147,-0.0011963784622213147,-0.0011963784622213147,0.0
2006-10-02,-0.004934975586965429,-0.004934975586965429,-0.004934975586965429,0.0
2006-10-03,-0.0028413703245433464,-0.0028413703245433464,-0.0028413703245433464,0.0
2006-10-04,0.0,0.0,0.0,0.0
2006-10-05,0.0,0.0,0.0,0.0
2006-10-06,-0.0012575690054447142,-0.0012575690054447142,-0.0012575690054447142,0.0
2006-10-09,-0.0006657519068405948,-0.0006657519068405948,-0.0006657519068405948,0.0
2006-10-10,0.0,0.0,0.0,0.0
2006-10-11,-0.0011828465813239486,-0.0011828465813239486,-0.0011828465813239486,0.0
2006-10-12,0.0,0.0,0.0,0.0
2006-10-13,0.0,0.0,0.0,0.0
2006-10-16,0.0,0.0,0.0,0.0
2006-10-17,-0.0031423025963804863,-0.0031423025963804863,-0.0031423025963804863,0.0
2006-10-18,-0.0018269512327573345,-0.0018269512327573345,-0.0018269512327573345,0.0
2006-10-19,-0.00021922522727046978,-0.00021922522727046978,-0.00021922522727046978,0.0
2006-10-20,0.0,0.0,0.0,0.0
2006-10-23,0.0,0.0,0.0,0.0
2006-10-24,0.0,0.0,0.0,0.0
2006-10-25,0.0,0.0,0.0,0.0
2006-10-26,0.0,0.0,0.0,0.0
2006-10-27,-0.0062688797005329144,-0.0062688797005329144,-0.0062688797005329144,0.0
2006-10-30,-0.006989488609563499,-0.006989488609563499,-0.006989488609563499,0.0
2006-10-31,-0.007133632381266297,-0.007133632381266297,-0.007133632381266297,0.0
2006-11-01,-0.013834833447424422,-0.013834833447424422,-0.013834833447424422,0.0
2006-11-02,-0.014411298584752541,-0.014411298584752541,-0.014411298584752541,0.0
2006-11-03,-0.016140693996736566,-0.016140693996736566,-0.016140693996736566,0.0
2006-11-06,-0.005043932514767091,-0.005043932514767091,-0.005043932514767091,0.0
2006-11-07,-0.0012249471857663785,-0.0012249471857663785,-0.0012249471857663785,0.0
2006-11-08,0.0,0.0,0.0,0.0
2006-11-09,-0.005255280160411102,-0.005255280160411102,-0.005255280160411102,0.0
2006-11-10,-0.0048232535546902655,-0.0048232535546902655,-0.0048232535546902655,0.0
2006-11-13,-0.0023756520218469745,-0.0023756520218469745,-0.0023756520218469745,0.0
2006-11-14,0.0,0.0,0.0,0.0
2006-11-15,0.0,0.0,0.0,0.0
2006-11-16,0.0,0.0,0.0,0.0
2006-11-17,0.0,0.0,0.0,0.0
2006-11-20,0.0,0.0,0.0,0.0
2006-11-21,0.0,0.0,0.0,0.0
2006-11-22,0.0,0.0,0.0,0.0
2006-11-24,-0.004044791887850674,-0.004044791887850674,-0.004044791887850674,0.0
2006-11-27,-0.0177405622515181,-0.0177405622515181,-0.0177405622515181,0.0
2006-11-28,-0.013482783999234194,-0.013482783999234194,-0.013482783999234194,0.0
2006-11-29,-0.003193279549313477,-0.003193279549313477,-0.003193279549313477,0.0
2006-11-30,-0.002767523380045045,-0.002767523380045045,-0.002767523380045045,0.0
2006-12-01,-0.004967335774465398,-0.004967335774465398,-0.004967335774465398,0.0
2006-12-04,0.0,0.0,0.0,0.0
2006-12-05,0.0,0.0,0.0,0.0
2006-12-06,-0.0008456315880819298,-0.0008456315880819298,-0.0008456315880819298,0.0
2006-12-07,-0.005214871502495,-0.005214871502495,-0.005214871502495,0.0
2006-12-08,-0.00338263388432003,-0.00338263388432003,-0.00338263388432003,0.0
2006-12-11,-0.0004932492490502538,-0.0004932492490502538,-0.0004932492490502538,0.0
2006-12-12,-0.0012684473821229503,-0.0012684473821229503,-0.0012684473821229503,0.0
2006-12-13,-0.00021140789702056573,-0.00021140789702056573,-0.00021140789702056573,0.0
2006-12-14,0.0,0.0,0.0,0.0
2006-12-15,-0.005449963708133332,-0.005449963708133332,-0.005449963708133332,0.0
2006-12-18,-0.008174945562199887,-0.008174945562199887,-0.008174945562199887,0.0
2006-12-19,-0.006288386858506079,-0.006288386858506079,-0.006288386858506079,0.0
2006-12-20,-0.006847371163872906,-0.006847371163872906,-0.006847371163872906,0.0
2006-12-21,-0.010480715841080124,-0.010480715841080124,-0.010480715841080124,0.0
