Year-Month,SPY Monthly Max Drawdown,VXX/VIX Monthly Max Drawdown,Ultra Monthly Max Drawdown,Pure VXX Monthly Max Drawdown
2006-07,-0.022511791978049756,-0.022511791978049756,-0.022511791978049756,0.0
2006-08,-0.08464777806370005,-0.08464777806370005,-0.08464777806370005,0.0
2006-09,-0.06101752136826333,-0.06101752136826333,-0.06101752136826333,0.0
2006-10,-0.03111587505087421,-0.03111587505087421,-0.03111587505087421,0.0
2006-11,-0.08702840858941796,-0.08702840858941796,-0.08702840858941796,0.0
2006-12,-0.09292300887386662,-0.09292300887386662,-0.09292300887386662,0.0
2007-01,-0.132325804387477,-0.132325804387477,-0.132325804387477,0.0
2007-02,-0.1136356251535483,-0.14313072949274086,-0.13652845121134105,-0.1578372186751833
2007-03,-0.5385189323012297,-0.7602435925121034,-0.7162066483049735,-0.9963723530823969
2007-04,-0.10443737655231045,-0.45711942373346237,-0.35324357424209196,-0.9963777634923304
2007-05,-0.046447820527292905,-0.07655705199159757,-0.04840558933886485,-0.9979954033823258
2007-06,-0.3008343837172702,-0.30083438371727045,-0.3008343837172661,-0.9973053528892097
2007-07,-0.30659368271146703,-0.3065936827114675,-0.30659368271146437,-0.9973053528892097
2007-08,-0.7501727729995376,-0.4617765328209563,-0.5366355585974303,-0.9564634660974844
2007-09,-0.45141232378817897,-0.13080077935590861,-0.13672010523800593,-0.7867319927271426
2007-10,-0.2874823949721762,-0.2767620313994924,-0.2767620313994932,-0.8487142260935998
2007-11,-0.7423610022628513,-0.6813413109031028,-0.6930787196596185,-0.5737578868392879
2007-12,-0.6480948889061645,-0.49198409109189745,-0.5238707061624244,-0.12927766832631338
2008-01,-0.9273548262917166,-0.8930820307227861,-0.9001342460412975,-0.13559861139976903
2008-02,-0.9355064613976385,-0.9068960847714378,-0.9127399346477777,-0.12927766832631338
2008-03,-0.9617433297508385,-0.9479909391577558,-0.9504237556505689,-0.5695929826714324
2008-04,-0.9386862958491643,-0.933993780547129,-0.9340968035390035,-0.90909367107363
2008-05,-0.8851683730368133,-0.8768133306200163,-0.8769964523409285,-0.8980974912278702
2008-06,-0.9551625260247703,-0.9519001931045444,-0.9519716953170699,-0.8980974912278702
2008-07,-0.9902952490054012,-0.9895525163133335,-0.9895688228225669,-0.90909367107363
2008-08,-0.9806589616324279,-0.9792517256625175,-0.9792825687701506,-0.8980974912278702
2008-09,-0.993586100062112,-0.9805885090791004,-0.9841706137623232,-0.8089243315771855
