,skewness,rank,demeaned_rank,weight
MRK,-0.1926025170194011,224.0,61.0,0.004620162084374764
ITUB,-0.18538962594391034,223.0,60.0,0.004544421722335833
XLRE,-0.17869653031383728,222.0,59.0,0.004468681360296902
SYY,-0.17485720807640937,221.0,58.0,0.004392940998257972
BCS,-0.1737276030812412,220.0,57.0,0.004317200636219041
ELP,-0.15617795972228288,219.0,56.0,0.004241460274180111
MRVL,-0.1532904095982281,218.0,55.0,0.00416571991214118
SLB,-0.14903215699524544,217.0,54.0,0.00408997955010225
DOW,-0.14297316774244276,216.0,53.0,0.004014239188063319
HWM,-0.1311199126068623,215.0,52.0,0.003938498826024388
TGT,-0.12652866667546508,214.0,51.0,0.003862758463985458
UL,-0.11096875434746127,213.0,50.0,0.0037870181019465272
XP,-0.10785963732764983,212.0,49.0,0.003711277739907597
MBG,-0.10440114886906691,211.0,48.0,0.0036355373778686664
MUFG,-0.09987588286815632,210.0,47.0,0.003559797015829736
FXI,-0.09911897899452207,209.0,46.0,0.0034840566537908055
TX,-0.09789885487785188,208.0,45.0,0.0034083162917518746
XLP,-0.08548135725253593,207.0,44.0,0.003332575929712944
ECL,-0.08472734674029281,206.0,43.0,0.0032568355676740137
DD,-0.08145181479892845,205.0,42.0,0.003181095205635083
HMY,-0.0802751563297723,204.0,41.0,0.0031053548435961524
HUT,-0.07273770950829506,203.0,40.0,0.003029614481557222
IBIT,-0.07014530436677671,202.0,39.0,0.0029538741195182915
NMR,-0.06686241540229591,201.0,38.0,0.002878133757479361
AMAT,-0.06294609407708197,200.0,37.0,0.00280239339544043
NVDA,-0.050800719336710605,199.0,36.0,0.0027266530334014998
RIOT,-0.04651317330412255,198.0,35.0,0.0026509126713625693
BK,-0.04498231382842281,197.0,34.0,0.0025751723093236385
RIO,-0.0358540546329752,196.0,33.0,0.002499431947284708
ETSY,-0.03334989279194191,195.0,32.0,0.0024236915852457776
ORLY,-0.029581563132163178,194.0,31.0,0.002347951223206847
B,-0.022162517997576885,193.0,30.0,0.0022722108611679167
SAN,-0.01788767294025687,192.0,29.0,0.002196470499128986
VALE,-0.017639382332621537,191.0,28.0,0.0021207301370900554
FMX,-0.008684446266480123,190.0,27.0,0.002044989775051125
