,skewness,rank,demeaned_rank,weight
HMY,-0.05536696257624828,180.0,38.5,0.003873044615461999
RIO,-0.052249756663516105,179.0,37.5,0.0037724460540214276
SCHW,-0.03314409984756747,178.0,36.5,0.003671847492580856
TX,-0.022877984802291515,177.0,35.5,0.0035712489311402846
BKR,-0.01888989199964516,176.0,34.5,0.0034706503696997136
ANF,-0.01734162404669733,175.0,33.5,0.003370051808259142
FMX,-0.010619452320824311,174.0,32.5,0.0032694532468185706
MUFG,-0.003949602714433192,173.0,31.5,0.003168854685377999
MCD,0.00011830550080564191,172.0,30.5,0.0030682561239374277
ETSY,0.0007345835728394166,171.0,29.5,0.0029676575624968562
HL,0.005073588300285575,170.0,28.5,0.002867059001056285
SLB,0.009520581935588092,169.0,27.5,0.0027664604396157137
AZN,0.010103324121286316,168.0,26.5,0.0026658618781751423
BK,0.013171565036859737,167.0,25.5,0.0025652633167345708
AKO-B,0.019477112691475996,166.0,24.5,0.0024646647552939993
SBUX,0.02162108321124332,165.0,23.5,0.002364066193853428
UBER,0.023112732999835135,164.0,22.5,0.0022634676324128564
PRIO3.SA,0.047852547229238755,163.0,21.5,0.0021628690709722853
NMR,0.04870745081541129,162.0,20.5,0.002062270509531714
DHR,0.06334622542206811,161.0,19.5,0.0019616719480911424
KB,0.06549390960342182,160.0,18.5,0.001861073386650571
GSK,0.07427162358203389,159.0,17.5,0.0017604748252099997
PM,0.07734590432301222,158.0,16.5,0.0016598762637694282
TIMB,0.08987106439960808,157.0,15.5,0.0015592777023288567
MRNA,0.10247747562854952,156.0,14.5,0.0014586791408882852
HUT,0.1608418760577788,155.0,13.5,0.001358080579447714
HDB,0.1633407324746302,154.0,12.5,0.0012574820180071425
PANW,0.16719429965635937,153.0,11.5,0.001156883456566571
BHP,0.17175334669724215,152.0,10.5,0.0010562848951259998
SPOT,0.1737606539624456,151.0,9.5,0.0009556863336854283
BIDU,0.18186375048441178,150.0,8.5,0.000855087772244857
EFX,0.19478752911258615,149.0,7.5,0.0007544892108042855
MGLU3.SA,0.203299032295649,148.0,6.5,0.0006538906493637141
LYG,0.20662181374153674,147.0,5.5,0.0005532920879231428
BABA,0.20880655920416283,146.0,4.5,0.0004526935264825713
SCCO,0.22048469012996166,145.0,3.5,0.00035209496504199993
INFY,0.22568412792785936,144.0,2.5,0.0002514964036014285
GLW,0.2262429205442823,143.0,1.5,0.0001508978421608571
HAL,0.23098541351743132,142.0,0.5,5.02992807202857e-05
PAC,0.23265374311113504,141.0,-0.5,-5.02992807202857e-05
TXN,0.23951413851703682,140.0,-1.5,-0.0001508978421608571
CSNA3.SA,0.24373293698158158,139.0,-2.5,-0.0002514964036014285
CSCO,0.24988253743208072,138.0,-3.5,-0.00035209496504199993
AMX,0.25001494039521527,137.0,-4.5,-0.0004526935264825713
RBLX,0.2513785998541505,136.0,-5.5,-0.0005532920879231428
JOYY,0.2553068937548771,135.0,-6.5,-0.0006538906493637141
BRFS,0.2570664818936671,134.0,-7.5,-0.0007544892108042855
UGP,0.258180239464072,133.0,-8.5,-0.000855087772244857
TJX,0.2675568991114683,132.0,-9.5,-0.0009556863336854283
MBG.F,0.27177926991030127,131.0,-10.5,-0.0010562848951259998
ING,0.2794042077604379,130.0,-11.5,-0.001156883456566571
GOOGL,0.28013515020695134,129.0,-12.5,-0.0012574820180071425
SID,0.2867928163625003,128.0,-13.5,-0.001358080579447714
DEO,0.28807004301338357,127.0,-14.5,-0.0014586791408882852
RIOT,0.3016129619255925,126.0,-15.5,-0.0015592777023288567
HON,0.3217888624932144,125.0,-16.5,-0.0016598762637694282
KO,0.3306238850221655,124.0,-17.5,-0.0017604748252099997
SONY,0.33080076882193304,123.0,-18.5,-0.001861073386650571
ABEV,0.33276470042081274,122.0,-19.5,-0.0019616719480911424
PFE,0.3346007684029599,121.0,-20.5,-0.002062270509531714
PEP,0.3454420967547085,120.0,-21.5,-0.0021628690709722853
CEG,0.3538113672148546,119.0,-22.5,-0.0022634676324128564
MMM,0.3660281168218819,118.0,-23.5,-0.002364066193853428
ORLY,0.369628138100501,117.0,-24.5,-0.0024646647552939993
HD,0.3792071806023186,116.0,-25.5,-0.0025652633167345708
QCOM,0.3816991929903232,115.0,-26.5,-0.0026658618781751423
WB,0.38440714408865506,114.0,-27.5,-0.0027664604396157137
SNA,0.3849080986415374,113.0,-28.5,-0.002867059001056285
SAP,0.38984648916896847,112.0,-29.5,-0.0029676575624968562
NXE,0.39298244861967696,111.0,-30.5,-0.0030682561239374277
EBAY,0.3970690890271769,110.0,-31.5,-0.003168854685377999
JD,0.39950456756851555,109.0,-32.5,-0.0032694532468185706
AI,0.39973837250422933,108.0,-33.5,-0.003370051808259142
HWM,0.40658677049335645,107.0,-34.5,-0.0034706503696997136
LRCX,0.4073442709460712,106.0,-35.5,-0.0035712489311402846
TWLO,0.4202040472016516,105.0,-36.5,-0.003671847492580856
SBS,0.421668284099131,104.0,-37.5,-0.0037724460540214276
BA,0.42236798003643206,103.0,-38.5,-0.003873044615461999
TSLA,0.42925913137425215,102.0,-39.5,-0.0039736431769025705
EBR,0.44541527885484705,101.0,-40.5,-0.004074241738343142
TCOM,0.45107566523630693,100.0,-41.5,-0.0041748402997837135
WMT,0.4578640581537395,99.0,-42.5,-0.004275438861224285
CCL,0.4660373450323308,98.0,-43.5,-0.004376037422664856
NIO,0.4673900785169883,97.0,-44.5,-0.004476635984105428
AMZN,0.49206675990478477,96.0,-45.5,-0.0045772345455459985
YZCAY,0.4952622936151354,95.0,-46.5,-0.00467783310698657
HAPV3.SA,0.5192581818483064,94.0,-47.5,-0.004778431668427141
BIIB,0.527373808992393,93.0,-48.5,-0.004879030229867713
BMY,0.5439228705390997,92.0,-49.5,-0.004979628791308284
HOG,0.554983617930668,91.0,-50.5,-0.005080227352748856
SNAP,0.5663503802830646,90.0,-51.5,-0.005180825914189427
WFC,0.5720591513779795,89.0,-52.5,-0.005281424475629999
NKE,0.5818952323970529,88.0,-53.5,-0.00538202303707057
YELP,0.5987942560501421,87.0,-54.5,-0.005482621598511142
STNE,0.6011806387148512,86.0,-55.5,-0.005583220159951713
XPEV,0.6013542971802983,85.0,-56.5,-0.005683818721392285
ASML,0.6195115405769195,84.0,-57.5,-0.005784417282832856
PINS,0.6238994054022866,83.0,-58.5,-0.005885015844273427
GM,0.6443936394139684,82.0,-59.5,-0.005985614405713998
GGB,0.6477782118014503,81.0,-60.5,-0.00608621296715457
UNP,0.6480985495694124,80.0,-61.5,-0.006186811528595141
HSY,0.6490843097367603,79.0,-62.5,-0.006287410090035713
META,0.650256031225073,78.0,-63.5,-0.006388008651476284
BKNG,0.6512296731130447,77.0,-64.5,-0.0064886072129168556
CDE,0.6604967717766469,76.0,-65.5,-0.006589205774357427
F,0.6606434663224572,75.0,-66.5,-0.0066898043357979985
MSTR,0.6613158904958468,74.0,-67.5,-0.00679040289723857
FSLR,0.6658430609177203,73.0,-68.5,-0.0068910014586791414
PAGS,0.6808156054282917,72.0,-69.5,-0.006991600020119713
JPM,0.6823276777009718,71.0,-70.5,-0.0070921985815602835
CRM,0.6872901742491602,70.0,-71.5,-0.007192797143000855
AXP,0.7139328432378012,69.0,-72.5,-0.0072933957044414265
STLA,0.7282618912661559,68.0,-73.5,-0.007393994265881998
PCAR,0.7321963010223712,67.0,-74.5,-0.007494592827322569
PATH,0.7375697555233713,66.0,-75.5,-0.007595191388763141
LVS,0.7450028986818641,65.0,-76.5,-0.007695789950203712
GILD,0.7491843701813525,64.0,-77.5,-0.007796388511644284
DE,0.7625132806137745,63.0,-78.5,-0.007896987073084855
ZM,0.7655192939801269,62.0,-79.5,-0.007997585634525427
TEAM,0.7816066317182964,61.0,-80.5,-0.008098184195965998
ASR,0.7960988788061776,60.0,-81.5,-0.00819878275740657
BITF,0.851139596794616,59.0,-82.5,-0.008299381318847141
CX,0.8572292097934007,58.0,-83.5,-0.008399979880287713
VIST,0.8667733955932785,57.0,-84.5,-0.008500578441728284
ARM,0.8754923168833723,56.0,-85.5,-0.008601177003168856
PAM,0.8823458176782344,55.0,-86.5,-0.008701775564609427
ERJ,0.8948922607699614,54.0,-87.5,-0.008802374126049999
CAAP,0.898043684075077,53.0,-88.5,-0.00890297268749057
SE,0.9072049196161366,52.0,-89.5,-0.009003571248931141
MSFT,0.935612726181904,51.0,-90.5,-0.009104169810371711
GS,0.9392282627286205,50.0,-91.5,-0.009204768371812283
YPF,0.9467723074780101,49.0,-92.5,-0.009305366933252854
JCI,0.9490338893238269,48.0,-93.5,-0.009405965494693426
PLTR,0.9596220834029339,47.0,-94.5,-0.009506564056133997
IBM,0.9727710002179061,46.0,-95.5,-0.009607162617574569
NUE,0.9791332176957387,45.0,-96.5,-0.00970776117901514
CAT,0.9804788203047818,44.0,-97.5,-0.009808359740455712
NOW,0.98142330760049,43.0,-98.5,-0.009908958301896283
TMO,0.9861697124714199,42.0,-99.5,-0.010009556863336854
ABNB,1.0542504135092952,41.0,-100.5,-0.010110155424777426
AAPL,1.0612748997509145,40.0,-101.5,-0.010210753986217997
CVS,1.0621489163868183,39.0,-102.5,-0.010311352547658569
CAR,1.0899307729506813,38.0,-103.5,-0.01041195110909914
COIN,1.1227918173897233,37.0,-104.5,-0.010512549670539712
RGTI,1.1360475257691027,36.0,-105.5,-0.010613148231980283
DIS,1.136739449533211,35.0,-106.5,-0.010713746793420855
AAL,1.2411283657296954,34.0,-107.5,-0.010814345354861426
SHOP,1.262163877227655,33.0,-108.5,-0.010914943916301998
AVGO,1.2773078049406004,32.0,-109.5,-0.01101554247774257
AVY,1.2799179503614957,31.0,-110.5,-0.01111614103918314
UAL,1.3697572687627564,30.0,-111.5,-0.011216739600623712
ADI,1.3872514432877514,29.0,-112.5,-0.011317338162064284
NTES,1.3922034270526062,28.0,-113.5,-0.011417936723504855
URBN,1.3984034199895268,27.0,-114.5,-0.011518535284945427
KEP,1.4194041938439588,26.0,-115.5,-0.011619133846385996
ISRG,1.4323368820195201,25.0,-116.5,-0.011719732407826568
INTC,1.4516162654385731,24.0,-117.5,-0.01182033096926714
DOCU,1.5047211791426247,23.0,-118.5,-0.01192092953070771
HMC,1.5832793637452427,22.0,-119.5,-0.012021528092148282
BB,1.6482142930349573,21.0,-120.5,-0.012122126653588854
DAL,1.6855149446397155,20.0,-121.5,-0.012222725215029425
TM,1.745694257242127,19.0,-122.5,-0.012323323776469997
BBD,1.7466844107098092,18.0,-123.5,-0.012423922337910568
ERIC,1.7804402367120478,17.0,-124.5,-0.01252452089935114
AMD,1.8854534679469621,16.0,-125.5,-0.012625119460791711
GRMN,1.9168422372356984,15.0,-126.5,-0.012725718022232282
BBAR,1.928801802382136,14.0,-127.5,-0.012826316583672854
BMA,1.9480028086284018,13.0,-128.5,-0.012926915145113425
FMCC,2.0314436527961335,12.0,-129.5,-0.013027513706553997
UPST,2.0608198147497734,11.0,-130.5,-0.013128112267994568
CAH,2.1329497951441483,10.0,-131.5,-0.01322871082943514
TGS,2.2566764983870624,9.0,-132.5,-0.013329309390875711
GGAL,2.3129972092351916,8.0,-133.5,-0.013429907952316283
FNMA,2.358208930875198,7.0,-134.5,-0.013530506513756854
TEO,2.3955988425508448,6.0,-135.5,-0.013631105075197426
NG,2.759650932065496,5.0,-136.5,-0.013731703636637997
CEPU,3.0130296636639042,4.0,-137.5,-0.013832302198078569
SNOW,3.3621304044038816,3.0,-138.5,-0.01393290075951914
ORCL,3.4463561124296134,2.0,-139.5,-0.014033499320959712
AAP,5.498341970820336,1.0,-140.5,-0.014134097882400283
