Ticker,Starting Date,Ending Date,Starting Price,Ending Price,Cumulative Return,SPY Cumulative Return,Excess Return
YPF,2025-05-07,2025-05-09,30.270000457763672,32.70000076293945,0.08027751134547922,0.005684758625355446,0.07459275272012378
GGAL,2025-03-06,2025-03-10,56.81999969482422,54.11000061035156,-0.047694457920236744,-0.021180016673188917,-0.026514441247047826
BBAR,2025-05-21,2025-05-23,21.81999969482422,21.649999618530273,-0.00779102102069551,-0.006433792152909845,-0.0013572288677856648
PAM,2025-05-13,2025-05-15,83.7300033569336,82.30000305175781,-0.01707870832250913,0.006168623392281081,-0.02324733171479021
TGS,2025-05-08,2025-05-12,26.760000228881836,28.950000762939453,0.08183858427975532,0.03173113077062584,0.050107453509129485
TEO,2025-05-12,2025-05-14,10.59000015258789,11.170000076293945,0.05476864167601736,0.007890421273347048,0.04687822040267031
BMA,2025-05-28,2025-05-30,89.7699966430664,84.51000213623047,-0.058594126139384306,0.00282448443137695,-0.061418610570761256
AAL,2025-04-23,2025-04-25,9.319999694824219,9.75,0.04613737331070711,0.02842634235568897,0.017711030955018137
AAP,2025-05-21,2025-05-23,31.309999465942383,48.66999816894531,0.5544554135775812,-0.006433792152909845,0.5608892057304911
AAPL,2025-05-01,2025-05-05,213.04063415527344,198.62953186035156,-0.06764485259848796,0.009024727070203076,-0.07666957966869103
ABBV,2025-04-24,2025-04-28,180.3699951171875,192.33999633789062,0.0663635945264962,0.007609382147018673,0.05875421237947753
ABEV,2025-05-07,2025-05-09,2.5,2.5299999713897705,0.011999988555908114,0.005684758625355446,0.006315229930552668
ABNB,2025-05-01,2025-05-05,124.01000213623047,124.88999938964844,0.007096179648890422,0.009024727070203076,-0.0019285474213126541
ABT,2025-04-15,2025-04-17,126.22000122070312,130.97999572753906,0.03771188766281819,-0.020832969089491837,0.058544856752310026
ACN,2025-03-19,2025-03-21,322.86895751953125,303.8134765625,-0.0590192414390861,-0.002562826600633228,-0.05645641483845287
ADBE,2025-03-12,2025-03-14,438.6000061035156,394.739990234375,-0.10000003478976027,0.007049901282321969,-0.10704993607208224
ADI,2025-05-21,2025-05-23,222.22000122070312,210.47000122070312,-0.05287552846483068,-0.006433792152909845,-0.046441736311920834
ADP,2025-04-29,2025-05-01,295.7699890136719,298.69000244140625,0.009872581858193286,0.007486584146472852,0.0023859977117204334
